ApplicationDocsID	ApplicationDocsTypeID	ApplNo	SubmissionType	SubmissionNo	ApplicationDocsTitle	ApplicationDocsURL	ApplicationDocsDate
11	1	005010	SUPPL     	47	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/05010slr047ltr.pdf	2003-03-10 00:00:00
12	1	005010	SUPPL     	49	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2009/005010s049ltr.pdf	2009-03-10 00:00:00
13	1	005010	SUPPL     	50	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2011/005010s050ltr.pdf	2011-04-13 00:00:00
15	1	005378	SUPPL     	27	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2013/005378Orig1s027ltr.pdf	2013-08-27 00:00:00
16	1	005619	SUPPL     	16	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/05619s16ltr.pdf	2004-05-27 00:00:00
17	1	005856	SUPPL     	20	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2009/005856s020ltr.pdf	2009-04-29 00:00:00
18	1	005929	SUPPL     	32	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/05929slr032,033and20148slr007,008ltr.pdf	2003-07-31 00:00:00
19	1	005939	SUPPL     	7	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2007/05939s007Ltr.pdf	2007-04-25 00:00:00
20	1	006002	SUPPL     	39	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/06002slr039ltr.pdf	2003-06-22 00:00:00
21	1	006002	SUPPL     	42	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2009/006002s042ltr.pdf	2009-06-17 00:00:00
22	1	006035	SUPPL     	72	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2004/06035slr072ltr.pdf	2004-03-02 00:00:00
23	1	006035	SUPPL     	73	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/06035slr073ltr.pdf	2003-10-09 00:00:00
24	1	006134	SUPPL     	28	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2006/06134s028ltr.pdf	2006-12-04 00:00:00
25	1	006134	SUPPL     	32	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2013/006134Orig1s032ltr.pdf	2013-04-16 00:00:00
26	1	006134	SUPPL     	35	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2014/006134Orig1s035ltr.pdf	2014-04-17 00:00:00
27	1	006134	SUPPL     	36	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2014/006134Orig1s036ltr.pdf	2014-08-20 00:00:00
28	1	006134	SUPPL     	39	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2016/006134Orig1s039ltr.pdf	2016-04-22 00:00:00
30	1	006695	SUPPL     	30	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/06695slr030ltr.pdf	2003-03-26 00:00:00
31	1	006773	SUPPL     	36	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/06773slr036ltr.pdf	2003-07-06 00:00:00
32	1	006882	SUPPL     	33	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/06882slr033ltr.pdf	2003-06-08 00:00:00
33	1	006927	SUPPL     	21	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/06927slr030,09112slr021ltr.pdf	2004-06-03 00:00:00
35	1	007337	SUPPL     	29	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2004/07337slr029ltr.pdf	2004-06-15 00:00:00
36	1	007337	SUPPL     	43	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2006/07337s043LTR.pdf	2006-08-21 00:00:00
37	1	007337	SUPPL     	46	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2010/007337s046ltr.pdf	2010-07-30 00:00:00
39	1	007638	SUPPL     	32	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2006/007638s032ltr.pdf	2006-01-30 00:00:00
40	1	007638	SUPPL     	33	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2008/007638s033ltr.pdf	2008-02-07 00:00:00
45	1	000793	SUPPL     	25	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2007/000793s025ltr.pdf	2007-10-04 00:00:00
46	1	001546	SUPPL     	11	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/1546s011.pdf	2002-04-24 00:00:00
47	1	003444	SUPPL     	20	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/03444slr020ltr.pdf	2003-11-25 00:00:00
58	1	005010	SUPPL     	48	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/05010slr048ltr.pdf	2003-06-08 00:00:00
59	1	005010	SUPPL     	51	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2011/005010s051ltr.pdf	2011-11-02 00:00:00
60	1	005378	SUPPL     	24	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2006/05378s024ltr.pdf	2006-04-13 00:00:00
61	1	005378	SUPPL     	26	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2007/005378s026ltr.pdf	2007-05-16 00:00:00
62	1	005378	SUPPL     	28	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2013/005378Orig1s028ltr.pdf	2013-12-09 00:00:00
63	1	005378	SUPPL     	30	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2015/005378Orig1s030ltr.pdf	2015-04-21 00:00:00
64	1	005619	SUPPL     	18	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/05619slr018ltr.pdf	2004-05-28 00:00:00
65	1	005619	SUPPL     	20	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2005/005619s020ltr.pdf	2005-06-07 00:00:00
66	1	005619	SUPPL     	21	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2011/005619s021ltr.pdf	2011-03-23 00:00:00
67	1	005856	SUPPL     	21	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2012/005856s021ltr.pdf	2012-06-08 00:00:00
68	1	005929	SUPPL     	33	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/05929slr032,033and20148slr007,008ltr.pdf	2003-07-31 00:00:00
69	1	006002	SUPPL     	43	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2013/006002Orig1s043ltr.pdf	2013-11-08 00:00:00
70	1	006035	SUPPL     	75	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2007/006035s07LTRd.pdf	2007-05-01 00:00:00
71	1	006035	SUPPL     	78	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2012/006035s078ltr.pdf	2012-06-27 00:00:00
72	1	006134	SUPPL     	30	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2012/006134Orig1s030ltr.pdf	2012-07-11 00:00:00
73	1	006134	SUPPL     	31	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2012/006134Orig1s031ltr.pdf	2012-07-11 00:00:00
74	1	006134	SUPPL     	37	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2015/006134Orig1s037ltr.pdf	2015-06-29 00:00:00
75	1	006134	SUPPL     	38	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2015/006134Orig1s038ltr.pdf	2015-04-03 00:00:00
80	1	006488	SUPPL     	74	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2010/006488s074ltr.pdf	2010-03-18 00:00:00
81	1	006695	SUPPL     	31	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2004/06695slr031ltr.pdf	2004-03-02 00:00:00
82	1	006927	SUPPL     	30	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/06927slr030,09112slr021ltr.pdf	2003-07-06 00:00:00
87	1	007337	SUPPL     	45	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2010/007337s045ltr.pdf	2010-03-18 00:00:00
89	1	008085	SUPPL     	52	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/08085slr052,scm055ltr.pdf	2003-11-05 00:00:00
90	1	008085	SUPPL     	53	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/08085s53s54ltr.pdf	2002-02-20 00:00:00
91	1	008085	SUPPL     	55	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/08085slr052,scm055ltr.pdf	2003-11-05 00:00:00
93	1	008316	SUPPL     	15	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/08316slr015ltr.pdf	2003-06-22 00:00:00
94	1	008316	SUPPL     	17	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2008/008316s017ltr.pdf	2008-08-13 00:00:00
95	1	008316	SUPPL     	21	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2015/008316Orig1s021ltr.pdf	2015-04-17 00:00:00
96	1	008316	SUPPL     	22	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2016/008316Orig1s022ltr.pdf	2016-07-29 00:00:00
98	1	008372	SUPPL     	45	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2012/008372s045ltr.pdf	2012-07-09 00:00:00
101	1	008453	SUPPL     	27	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2010/008453s027ltr.pdf	2010-11-30 00:00:00
104	1	008762	SUPPL     	20	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2001/08762s20s21s22s26ltr.pdf	2001-11-20 00:00:00
105	1	008762	SUPPL     	22	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2001/08762s20s21s22s26ltr.pdf	2001-11-20 00:00:00
106	1	008762	SUPPL     	32	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2011/008762s032,s039,s040,s041ltr.pdf	2011-12-01 00:00:00
107	1	008762	SUPPL     	38	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2011/008762s038ltr.pdf	2011-01-24 00:00:00
108	1	008762	SUPPL     	39	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2011/008762s032,s039,s040,s041ltr.pdf	2011-12-01 00:00:00
109	1	008762	SUPPL     	40	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2011/008762s032,s039,s040,s041ltr.pdf	2011-12-01 00:00:00
110	1	008762	SUPPL     	42	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2011/008762s042ltr.pdf	2011-05-31 00:00:00
111	1	008762	SUPPL     	47	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2013/008762Orig1s047ltr.pdf	2013-03-08 00:00:00
112	1	008762	SUPPL     	51	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2014/008762Orig1s051,010151Orig1s039ltr.pdf	2014-04-04 00:00:00
113	1	008762	SUPPL     	52	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2015/008762Orig1s052,10151Orig1s040ltr.pdf	2015-04-17 00:00:00
116	1	008816	SUPPL     	32	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2004/08816s032ltr.pdf	2004-07-28 00:00:00
117	1	008845	SUPPL     	65	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2010/008845s065ltr.pdf	2010-11-30 00:00:00
119	1	009000	SUPPL     	22	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/9000s022ltr.pdf	2002-06-04 00:00:00
120	1	009048	SUPPL     	37	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/09048slr037ltr.pdf	2003-04-15 00:00:00
121	1	009053	SUPPL     	20	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/09053s020ltr.pdf	2002-03-22 00:00:00
122	1	009053	SUPPL     	21	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/09053slr021ltr.pdf	2002-09-06 00:00:00
123	1	009053	SUPPL     	32	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2011/009053s032ltr.pdf	2011-05-31 00:00:00
125	1	009165	SUPPL     	31	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2007/009165s031_ltr.pdf	2007-07-30 00:00:00
126	1	009165	SUPPL     	32	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2014/009165Orig1s032ltr.pdf	2014-06-23 00:00:00
130	1	009175	SUPPL     	37	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2009/009175s037ltr.pdf	2009-02-13 00:00:00
131	1	009175	SUPPL     	38	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2010/009175s038ltr.pdf	2010-11-02 00:00:00
132	1	009175	SUPPL     	39	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2010/009175s039ltr.pdf	2010-10-19 00:00:00
134	1	007513	SUPPL     	24	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2007/007513s024ltr.pdf	2007-10-04 00:00:00
135	1	007638	SUPPL     	38	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2015/007638Orig1s038ltr.pdf	2015-12-29 00:00:00
140	1	008085	SUPPL     	54	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/08085s53s54ltr.pdf	2002-02-20 00:00:00
141	1	008085	SUPPL     	58	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2006/008085s058LTR.pdf	2006-06-02 00:00:00
142	1	008085	SUPPL     	66	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2016/008085Orig1s066ltr.pdf	2016-02-01 00:00:00
143	1	008107	SUPPL     	54	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/08107s54ltr.pdf	2002-02-12 00:00:00
144	1	008107	SUPPL     	55	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/08-107scm055ltr.pdf	2003-12-22 00:00:00
150	1	008372	SUPPL     	44	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2015/008372Orig1s044ltr.pdf	2015-03-25 00:00:00
159	1	008720	SUPPL     	16	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2004/08720s016ltr.pdf	2004-09-07 00:00:00
160	1	008762	SUPPL     	21	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2001/08762s20s21s22s26ltr.pdf	2001-11-20 00:00:00
161	1	008762	SUPPL     	26	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2001/08762s20s21s22s26ltr.pdf	2001-11-20 00:00:00
162	1	008762	SUPPL     	31	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/08762slr031ltr.pdf	2003-03-26 00:00:00
163	1	008762	SUPPL     	36	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2009/008762s036ltr.pdf	2009-04-29 00:00:00
164	1	008762	SUPPL     	41	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2011/008762s032,s039,s040,s041ltr.pdf	2011-12-01 00:00:00
165	1	008762	SUPPL     	43	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2011/008762s032,s039,s040,s041ltr.pdf	2011-12-01 00:00:00
166	1	008762	SUPPL     	50	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2014/008762Orig1s050,010151Orig1s038ltr.pdf	2014-01-28 00:00:00
167	1	008762	SUPPL     	54	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2016/08762Orig1s054,10151Orig1s041ltr.pdf	2016-01-26 00:00:00
173	1	009000	SUPPL     	23	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/9000s022ltr.pdf	2004-05-28 00:00:00
174	1	009053	SUPPL     	22	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/09053slr022ltr.pdf	2003-01-10 00:00:00
176	1	009190	SUPPL     	21	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2014/009190Orig1s021ltr.pdf	2014-03-24 00:00:00
177	1	009190	SUPPL     	24	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2014/009190Orig1s024ltr.pdf	2014-04-07 00:00:00
178	1	009193	SUPPL     	37	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2001/12015s23ltr.pdf	2001-05-22 00:00:00
179	1	009218	SUPPL     	98	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/09218s098ltr.pdf	2002-05-03 00:00:00
180	1	009218	SUPPL     	101	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2005/009218s101ltr.pdf	2005-09-07 00:00:00
181	1	009218	SUPPL     	105	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2007/009218s105ltr.pdf	2007-08-17 00:00:00
182	1	009218	SUPPL     	107	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2011/009218s107ltr.pdf	2011-10-05 00:00:00
183	1	009218	SUPPL     	115	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2015/009218Orig1s115ltr.pdf	2015-10-30 00:00:00
184	1	009321	SUPPL     	28	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2015/009321Orig1s028ltr.pdf	2015-07-09 00:00:00
192	1	009435	SUPPL     	36	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2010/009435s035s036ltr.pdf	2010-03-18 00:00:00
194	1	009866	SUPPL     	77	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2009/009866s077s79ltr.pdf	2009-11-09 00:00:00
195	1	009866	SUPPL     	80	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2010/009866s080ltr.pdf	2010-06-28 00:00:00
196	1	010040	SUPPL     	163	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/10040spd163ltr.pdf	2003-10-01 00:00:00
197	1	010151	SUPPL     	22	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2001/08762s20s21s22s26ltr.pdf	2001-11-20 00:00:00
198	1	010151	SUPPL     	30	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2001/08762s20s21s22s26ltr.pdf	2001-11-20 00:00:00
199	1	010151	SUPPL     	32	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2001/08762s20s21s22s26ltr.pdf	2001-11-20 00:00:00
200	1	010151	SUPPL     	33	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2001/08762s20s21s22s26ltr.pdf	2001-11-20 00:00:00
201	1	010151	SUPPL     	37	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2013/010151Orig1s037ltr.pdf	2013-03-08 00:00:00
202	1	010151	SUPPL     	38	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2014/008762Orig1s050,010151Orig1s038ltr.pdf	2014-01-28 00:00:00
203	1	010151	SUPPL     	40	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2015/008762Orig1s052,10151Orig1s040ltr.pdf	2015-04-17 00:00:00
204	1	010151	SUPPL     	41	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2016/08762Orig1s054,10151Orig1s041ltr.pdf	2016-01-26 00:00:00
205	1	010155	SUPPL     	22	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2011/010155s022s023ltr.pdf	2011-11-16 00:00:00
206	1	010155	SUPPL     	23	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2011/010155s022s023ltr.pdf	2011-11-16 00:00:00
207	1	010187	SUPPL     	57	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2004/10187slr057,058,18029slr028,029ltr.pdf	2004-05-27 00:00:00
208	1	010187	SUPPL     	58	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2004/10187slr057,058,18029slr028,029ltr.pdf	2004-05-27 00:00:00
209	1	010187	SUPPL     	60	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2002/10187s60ltr.pdf	2002-01-11 00:00:00
210	1	010187	SUPPL     	66	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2006/010187s066,067,018029s037,s038,021284s006,s008LTR.pdf	2006-08-11 00:00:00
211	1	010187	SUPPL     	67	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2006/010187s066,067,018029s037,s038,021284s006,s008LTR.pdf	2006-08-11 00:00:00
212	1	010187	SUPPL     	69	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2007/010187s069,018029s040,021284s011ltr.pdf	2007-05-01 00:00:00
213	1	010187	SUPPL     	72	0	http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2010/010187s072,018029s042,021284s017ltr.pdf	2010-11-18 00:00:00
