decision_id,decision_date,company_name,ticker,drug,master_class,core_published_class,ticker_level_class,rows_for_this_ticker,classes_for_this_ticker,problem,exchange
D941,2018-01-26,Advanced Accelerator Applications (acquired by Novartis 2018),AAAP,Lutathera,FORMERLY US-LISTED (DELISTED/ACQUIRED),US-LISTED,US-LISTED,2,FORMERLY US-LISTED (DELISTED/ACQUIRED):1 | US-LISTED:1,TICKER-INTERNALLY-INCONSISTENT+ROW-LEVEL-vs-TICKER-LEVEL,NASDAQ
D435,2015-10-23,Alexion Pharmaceuticals Inc. (acquired by AstraZeneca 2021),ALXN,Strensiq,US-LISTED,FORMERLY US-LISTED (DELISTED/ACQUIRED),FORMERLY US-LISTED (DELISTED/ACQUIRED),4,FORMERLY US-LISTED (DELISTED/ACQUIRED):3 | US-LISTED:1,TICKER-INTERNALLY-INCONSISTENT+ROW-LEVEL-vs-TICKER-LEVEL,NASDAQ (delisted 2021)
D594,2011-04-06,AstraZeneca PLC,AZN,Caprelsa,US-LISTED,US-LISTED (ADR),US-LISTED (ADR),34,US-LISTED:13 | US-LISTED (ADR):21,TICKER-INTERNALLY-INCONSISTENT+ROW-LEVEL-vs-TICKER-LEVEL,NYSE
D607,2011-07-20,AstraZeneca PLC,AZN,Brilinta,US-LISTED,US-LISTED (ADR),US-LISTED (ADR),34,US-LISTED:13 | US-LISTED (ADR):21,TICKER-INTERNALLY-INCONSISTENT+ROW-LEVEL-vs-TICKER-LEVEL,NYSE
D609,2012-09-12,AstraZeneca PLC,AZN,Aubagio,US-LISTED,US-LISTED (ADR),US-LISTED (ADR),34,US-LISTED:13 | US-LISTED (ADR):21,TICKER-INTERNALLY-INCONSISTENT+ROW-LEVEL-vs-TICKER-LEVEL,NYSE
D539,2014-02-24,Amylin (BMS/AstraZeneca),AZN,Myalept,US-LISTED,US-LISTED (ADR),US-LISTED (ADR),34,US-LISTED:13 | US-LISTED (ADR):21,TICKER-INTERNALLY-INCONSISTENT+ROW-LEVEL-vs-TICKER-LEVEL,NYSE
D556,2014-09-16,AstraZeneca PLC,AZN,Movantik,US-LISTED,US-LISTED (ADR),US-LISTED (ADR),34,US-LISTED:13 | US-LISTED (ADR):21,TICKER-INTERNALLY-INCONSISTENT+ROW-LEVEL-vs-TICKER-LEVEL,NYSE
D562,2014-12-19,AstraZeneca PLC,AZN,Lynparza,US-LISTED,US-LISTED (ADR),US-LISTED (ADR),34,US-LISTED:13 | US-LISTED (ADR):21,TICKER-INTERNALLY-INCONSISTENT+ROW-LEVEL-vs-TICKER-LEVEL,NYSE
D431,2015-11-13,AstraZeneca PLC,AZN,Tagrisso,US-LISTED,US-LISTED (ADR),US-LISTED (ADR),34,US-LISTED:13 | US-LISTED (ADR):21,TICKER-INTERNALLY-INCONSISTENT+ROW-LEVEL-vs-TICKER-LEVEL,NYSE
D424,2015-12-22,AstraZeneca PLC,AZN,Zurampic,US-LISTED,US-LISTED (ADR),US-LISTED (ADR),34,US-LISTED:13 | US-LISTED (ADR):21,TICKER-INTERNALLY-INCONSISTENT+ROW-LEVEL-vs-TICKER-LEVEL,NYSE
D503,2017-05-01,AstraZeneca PLC,AZN,Imfinzi,US-LISTED,US-LISTED (ADR),US-LISTED (ADR),34,US-LISTED:13 | US-LISTED (ADR):21,TICKER-INTERNALLY-INCONSISTENT+ROW-LEVEL-vs-TICKER-LEVEL,NYSE
D488,2017-10-31,AstraZeneca PLC,AZN,Calquence,US-LISTED,US-LISTED (ADR),US-LISTED (ADR),34,US-LISTED:13 | US-LISTED (ADR):21,TICKER-INTERNALLY-INCONSISTENT+ROW-LEVEL-vs-TICKER-LEVEL,NYSE
D485,2017-11-14,AstraZeneca PLC,AZN,Fasenra,US-LISTED,US-LISTED (ADR),US-LISTED (ADR),34,US-LISTED:13 | US-LISTED (ADR):21,TICKER-INTERNALLY-INCONSISTENT+ROW-LEVEL-vs-TICKER-LEVEL,NYSE
