year,compilation_rows,matched,missing,missing_by_design,master_rows_total,master_only_rows,compilation_2000_2003_cber,master_flag_COMPILATION_ONLY,master_flag_COMPILATION_ONLY_CBER,master_flag_NOT_ON_FDA_NME_TABLE
1985,31,31,0,0,31,0,0,31,0,0
1986,23,23,0,0,23,0,0,23,0,0
1987,22,22,0,0,22,0,0,22,0,0
1988,20,20,0,0,20,0,0,20,0,0
1989,27,27,0,0,27,0,0,27,0,0
1990,24,24,0,0,24,0,0,24,0,0
1991,32,32,0,0,32,0,0,32,0,0
1992,29,29,0,0,29,0,0,29,0,0
1993,27,27,0,0,27,0,0,27,0,0
1994,23,23,0,0,23,0,0,23,0,0
1995,30,30,0,0,30,0,0,30,0,0
1996,59,59,0,0,59,0,0,59,0,0
1997,43,43,0,0,43,0,0,43,0,0
1998,36,36,0,0,36,0,0,0,0,0
1999,37,37,0,0,37,0,0,0,0,0
2000,29,29,0,0,29,0,2,0,2,0
2001,29,29,0,0,29,0,5,0,5,0
2002,23,23,0,0,23,0,6,0,6,0
2003,27,27,0,0,27,0,6,0,6,0
2004,36,36,0,0,36,0,0,0,0,0
2005,20,20,0,0,20,0,0,0,0,0
2006,22,22,0,0,22,0,0,0,0,0
2007,18,18,0,0,18,0,0,0,0,0
2008,25,24,0,1,24,0,0,0,0,0
2009,26,26,0,0,26,0,0,0,0,0
2010,21,21,0,0,21,0,0,0,0,0
2011,30,30,0,0,30,0,0,0,0,0
2012,39,39,0,0,39,0,0,0,0,0
2013,27,27,0,0,27,0,0,0,0,0
2014,41,41,0,0,42,1,0,0,0,1
2015,45,45,0,0,45,0,0,0,0,0
2016,22,22,0,0,22,0,0,0,0,0
2017,46,46,0,0,46,0,0,0,0,0
2018,59,59,0,0,59,0,0,0,0,0
2019,48,48,0,0,48,0,0,0,0,0
2020,53,53,0,0,53,0,0,0,0,0
2021,50,50,0,0,50,0,0,0,0,0
2022,37,37,0,0,37,0,0,0,0,0
2023,55,55,0,0,55,0,0,0,0,0
2024,50,50,0,0,50,0,0,0,0,0
2025,46,46,0,0,46,0,0,0,0,0
2026,0,0,0,0,40,40,0,0,0,0
