year,openfda_orig_nda_bla_count,type1_nme_in_openfda,type1_matched_to_nme_master,type1_unmatched_flagged,non_nme_already_in_master,non_nme_published,official_source_url,source_type,coverage_status,raw_payload,notes
1980,82,9,0,0,0,73,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[19800101 TO 19801231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_1980_1984/decisions_1980.json,Pre-1985 era (v15/v16 backward extension): Type 1/1-4 NMEs are tracked in pre1985_fda_decisions.csv (9 applications); 73 non-NME originals published in fda_original_non_nme_decisions.csv. See data/focus_years_1980_1985_audit.csv for the complete enumeration audit.
1981,71,23,0,0,0,48,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[19810101 TO 19811231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_1980_1984/decisions_1981.json,Pre-1985 era (v15/v16 backward extension): Type 1/1-4 NMEs are tracked in pre1985_fda_decisions.csv (23 applications); 48 non-NME originals published in fda_original_non_nme_decisions.csv. See data/focus_years_1980_1985_audit.csv for the complete enumeration audit.
1982,103,25,0,0,0,78,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[19820101 TO 19821231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_1980_1984/decisions_1982.json,Pre-1985 era (v15/v16 backward extension): Type 1/1-4 NMEs are tracked in pre1985_fda_decisions.csv (25 applications); 78 non-NME originals published in fda_original_non_nme_decisions.csv. See data/focus_years_1980_1985_audit.csv for the complete enumeration audit.
1983,70,13,0,0,0,56,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[19830101 TO 19831231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_1980_1984/decisions_1983.json,"Pre-1985 era (v15/v16 backward extension): Type 1/1-4 NMEs are tracked in pre1985_fda_decisions.csv (13 applications); 1 separately verified non-Type-1 original(s) also tracked there (furosemide NDA018413 1983, Trandate NDA018716 1984); 56 non-NME originals published in fda_original_non_nme_decisions.csv. See data/focus_years_1980_1985_audit.csv for the complete enumeration audit."
1984,109,19,0,0,0,89,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[19840101 TO 19841231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_1980_1984/decisions_1984.json,"Pre-1985 era (v15/v16 backward extension): Type 1/1-4 NMEs are tracked in pre1985_fda_decisions.csv (19 applications); 1 separately verified non-Type-1 original(s) also tracked there (furosemide NDA018413 1983, Trandate NDA018716 1984); 89 non-NME originals published in fda_original_non_nme_decisions.csv. See data/focus_years_1980_1985_audit.csv for the complete enumeration audit."
1985,82,27,27,0,1,54,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[19850101 TO 19851231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_1985.json,"Type 1 NMEs belong on fda_decisions_master.csv (27 matched, 0 flagged unmatched). 54 non-NME originals published in fda_original_non_nme_decisions.csv."
1986,80,20,20,0,1,59,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[19860101 TO 19861231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_1986.json,"Type 1 NMEs belong on fda_decisions_master.csv (20 matched, 0 flagged unmatched). 59 non-NME originals published in fda_original_non_nme_decisions.csv."
1987,60,22,22,0,0,38,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[19870101 TO 19871231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_1987.json,"Type 1 NMEs belong on fda_decisions_master.csv (22 matched, 0 flagged unmatched). 38 non-NME originals published in fda_original_non_nme_decisions.csv."
1988,59,17,17,0,0,42,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[19880101 TO 19881231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_1988.json,"Type 1 NMEs belong on fda_decisions_master.csv (17 matched, 0 flagged unmatched). 42 non-NME originals published in fda_original_non_nme_decisions.csv."
1989,88,23,23,0,1,64,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[19890101 TO 19891231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_1989.json,"Type 1 NMEs belong on fda_decisions_master.csv (23 matched, 0 flagged unmatched). 64 non-NME originals published in fda_original_non_nme_decisions.csv."
1990,61,23,23,0,1,37,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[19900101 TO 19901231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_1990.json,"Type 1 NMEs belong on fda_decisions_master.csv (23 matched, 0 flagged unmatched). 37 non-NME originals published in fda_original_non_nme_decisions.csv."
1991,64,32,32,0,4,28,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[19910101 TO 19911231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_1991.json,"Type 1 NMEs belong on fda_decisions_master.csv (32 matched, 0 flagged unmatched). 28 non-NME originals published in fda_original_non_nme_decisions.csv."
1992,89,26,26,0,1,62,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[19920101 TO 19921231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_1992.json,"Type 1 NMEs belong on fda_decisions_master.csv (26 matched, 0 flagged unmatched). 62 non-NME originals published in fda_original_non_nme_decisions.csv."
1993,70,27,27,0,2,41,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[19930101 TO 19931231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_1993.json,"Type 1 NMEs belong on fda_decisions_master.csv (27 matched, 0 flagged unmatched). 41 non-NME originals published in fda_original_non_nme_decisions.csv."
1994,63,22,21,1,2,39,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[19940101 TO 19941231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_1994.json,"Type 1 NMEs belong on fda_decisions_master.csv (21 matched, 1 flagged unmatched). 39 non-NME originals published in fda_original_non_nme_decisions.csv."
1995,89,29,29,0,2,58,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[19950101 TO 19951231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_1995.json,"Type 1 NMEs belong on fda_decisions_master.csv (29 matched, 0 flagged unmatched). 58 non-NME originals published in fda_original_non_nme_decisions.csv."
1996,144,56,55,1,3,85,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[19960101 TO 19961231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_1996.json,"Type 1 NMEs belong on fda_decisions_master.csv (55 matched, 1 flagged unmatched). 85 non-NME originals published in fda_original_non_nme_decisions.csv."
1997,125,38,37,1,3,84,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[19970101 TO 19971231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_1997.json,"Type 1 NMEs belong on fda_decisions_master.csv (37 matched, 1 flagged unmatched). 84 non-NME originals published in fda_original_non_nme_decisions.csv."
1998,102,37,35,2,0,65,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[19980101 TO 19981231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_1998.json,"Type 1 NMEs belong on fda_decisions_master.csv (35 matched, 2 flagged unmatched). 65 non-NME originals published in fda_original_non_nme_decisions.csv."
1999,84,36,35,1,0,48,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[19990101 TO 19991231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_1999.json,"Type 1 NMEs belong on fda_decisions_master.csv (35 matched, 1 flagged unmatched). 48 non-NME originals published in fda_original_non_nme_decisions.csv."
2000,105,28,28,0,0,77,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20000101 TO 20001231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2000.json,"Type 1 NMEs belong on fda_decisions_master.csv (28 matched, 0 flagged unmatched). 77 non-NME originals published in fda_original_non_nme_decisions.csv."
