year,application_number,application_number_6,drug_brand,drug_generic,decision_date,chemical_type_code,chemical_type_description,review_priority,is_nme_comparable,project_table,decision_id,drugsatfda_url,openfda_query_url,payload_found,payload_decision_date,payload_class_code,payload_class_desc,payload_review_priority,payload_sponsor_current_holder,verification_status,official_nme_count_for_year,fda_compilation_row,notes,source_urls,irregularity_flag
1983,NDA 018682,018682,TZ-3,tioconazole 1% (cream),1983-02-18,TYPE 1,Type 1 - New Molecular Entity,STANDARD,YES,pre1985_fda_decisions.csv,PRE1985-1983-09,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018682,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA018682%22&limit=1,YES,1983-02-18,TYPE 1,Type 1 - New Molecular Entity,STANDARD,PFIZER,VERIFIED,14,N/A (pre-1985 not in Compilation),"v13 2026-09-18 added from the Drugs@FDA 1983 Type-1 enumeration. Payload: ORIG AP 1983-02-18, TYPE 1, STANDARD, holder PFIZER, product TZ-3 (tioconazole 1% cream). Indication text from current tioconazole OTC labeling (api.fda.gov/drug/label.json, generic_name tioconazole, accessed 2026-09-18) - current OTC label reads 'treats vaginal yeast infections'.",https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018682|https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA018682%22&limit=1|https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,
1983,NDA 050544,050544,Netromycin,netilmicin sulfate,1983-02-28,TYPE 1,Type 1 - New Molecular Entity,STANDARD,YES,pre1985_fda_decisions.csv,PRE1985-1983-05,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050544,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA050544%22&limit=1,YES,1983-02-28,TYPE 1,Type 1 - New Molecular Entity,STANDARD,SCHERING,VERIFIED,14,N/A (pre-1985 not in Compilation),Approved 1983-02-28. Schering-Plough merged with Merck & Co. in 2009.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050544|https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA050544%22&limit=1|https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,
1983,NDA 018225,018225,Bumex,bumetanide,1983-02-28,TYPE 1,Type 1 - New Molecular Entity,STANDARD,YES,pre1985_fda_decisions.csv,PRE1985-1983-10,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018225,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA018225%22&limit=1,YES,1983-02-28,TYPE 1,Type 1 - New Molecular Entity,STANDARD,VALIDUS PHARMS,VERIFIED,14,N/A (pre-1985 not in Compilation),"v13 2026-09-18 added. Payload: ORIG AP 1983-02-28, TYPE 1, STANDARD, holder VALIDUS PHARMS, product BUMEX (bumetanide 0.5 mg). Original US introduction by Hoffmann-La Roche per Inpharma Weekly 391:19-20 (1983), 'BUMETANIDE: Diuretic previously available in Europe... now introduced by Roche in the US' (doi 10.1007/BF03303480). Indication quoted from current bumetanide labeling (api.fda.gov/drug/label.json, accessed 2026-09-18).",https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018225|https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA018225%22&limit=1|https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,
1983,NDA 018749,018749,Lithostat,acetohydroxamic acid,1983-05-31,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,YES,pre1985_fda_decisions.csv,PRE1985-1983-04,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018749,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA018749%22&limit=1,YES,1983-05-31,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,MISSION PHARMA,VERIFIED,14,N/A (pre-1985 not in Compilation),Approved 1983-05-31 under the new orphan drug provisions enacted January 1983.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018749|https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA018749%22&limit=1|https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,
1983,NDA 018703,018703,Zantac,ranitidine hydrochloride,1983-06-09,TYPE 1,Type 1 - New Molecular Entity,STANDARD,YES,pre1985_fda_decisions.csv,PRE1985-1983-02,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018703,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA018703%22&limit=1,YES,1983-06-09,TYPE 1,Type 1 - New Molecular Entity,STANDARD,GLAXO GRP LTD,VERIFIED,14,N/A (pre-1985 not in Compilation),Approved 1983-06-09. Glaxo merged with Wellcome (1995) and SmithKline Beecham (2000) to form GlaxoSmithKline.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018703|https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA018703%22&limit=1|https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,
1983,NDA 018538,018538,Lozol,indapamide,1983-07-06,TYPE 1,Type 1 - New Molecular Entity,STANDARD,YES,pre1985_fda_decisions.csv,PRE1985-1983-11,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018538,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA018538%22&limit=1,YES,1983-07-06,TYPE 1,Type 1 - New Molecular Entity,STANDARD,SANOFI AVENTIS US,VERIFIED,14,N/A (pre-1985 not in Compilation),"v13 2026-09-18 added. Payload: ORIG AP 1983-07-06, TYPE 1, STANDARD, holder SANOFI AVENTIS US, product LOZOL (indapamide 1.25 mg). NCATS Inxight: 'First approved in 1983 - LOZOL by SANOFI AVENTIS US' (drugs.ncats.io, ApplNo 018538). Original 1983 applicant not identified in any machine-readable primary source this pass - flagged. Indication quoted from current indapamide labeling (api.fda.gov/drug/label.json).",https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018538|https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA018538%22&limit=1|https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,
1983,NDA 018513,018513,Chenix,chenodiol (chenodeoxycholic acid),1983-07-28,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,YES,pre1985_fda_decisions.csv,PRE1985-1983-12,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018513,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA018513%22&limit=1,YES,1983-07-28,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,LEADIANT BIOSCI INC,VERIFIED,14,N/A (pre-1985 not in Compilation),"v13 2026-09-18 added. Payload: ORIG AP 1983-07-28, TYPE 1, PRIORITY, holder LEADIANT BIOSCI INC, product CHENIX (chenodiol 250 mg). FDA OOPD record (designation 1984-09-21): trade name Chenix, marketing approval date 07/28/1983, 7-year exclusivity to 07/28/1990. LiverTox (NCBI Bookshelf NBK547907): 'Chenodiol was approved for use in patients with radiolucent gallstones in 1983'. Discontinued 1997 per an AAPC policy document citing the manufacturer; chenodiol later returned to the US market via Manchester Pharmaceuticals (Chenodal, ANDA to Chenix). Original 1983 applicant not pinned - flagged.",https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018513|https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA018513%22&limit=1|https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,
1983,NDA 050560,050560,Cefizox,ceftizoxime sodium,1983-09-15,TYPE 1,Type 1 - New Molecular Entity,STANDARD,YES,pre1985_fda_decisions.csv,PRE1985-1983-03,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050560,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA050560%22&limit=1,YES,1983-09-15,TYPE 1,Type 1 - New Molecular Entity,STANDARD,ASTELLAS,VERIFIED,14,N/A (pre-1985 not in Compilation),Approved 1983-09-15. Fujisawa merged with Yamanouchi in 2005 to form Astellas Pharma.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050560|https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA050560%22&limit=1|https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,
1983,NDA 050558,050558,Zinacef,cefuroxime sodium (injection),1983-10-19,TYPE 1,Type 1 - New Molecular Entity,STANDARD,YES,pre1985_fda_decisions.csv,PRE1985-1983-13,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050558,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA050558%22&limit=1,YES,1983-10-19,TYPE 1,Type 1 - New Molecular Entity,STANDARD,PAI HOLDINGS PHARM,VERIFIED,14,N/A (pre-1985 not in Compilation),"v13 2026-09-18 added. Payload: ORIG AP 1983-10-19, TYPE 1, STANDARD, holder PAI HOLDINGS PHARM, product ZINACEF (cefuroxime sodium injection). Cefuroxime discovered and introduced by Glaxo per secondary histories (e.g. Parasite Testing wiki: 'discovered by Glaxo now GlaxoSmithKline and introduced in 1978 as Zinacef... approved by FDA on Oct 19, 1983') and drugs.com New Drug Approvals (ZINACEF, Oct 19 1983) - original-applicant attribution flagged as secondary-sourced. Indication quoted from current cefuroxime sodium labeling (api.fda.gov/drug/label.json, accessed 2026-09-18).",https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050558|https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA050558%22&limit=1|https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,
1983,NDA 018768,018768,Vepesid,etoposide (injection),1983-11-10,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,YES,pre1985_fda_decisions.csv,PRE1985-1983-14,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018768,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA018768%22&limit=1,YES,1983-11-10,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,CORDEN PHARMA,VERIFIED,14,N/A (pre-1985 not in Compilation),"v13 2026-09-18 added. Payload: ORIG AP 1983-11-10, TYPE 1, PRIORITY, holder CORDEN PHARMA, product VEPESID (etoposide 20 mg/mL). Bristol-Myers licensed etoposide/teniposide development in 1978 and obtained the 1983 approval (ScienceDirect, 'Serendipity in Cancer Drug Discovery'; HemOnc.org: 'November 10, 1983: Initial FDA approval for refractory testicular tumors'). Current-label indication quoted from api.fda.gov/drug/label.json (etoposide, accessed 2026-09-18).",https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018768|https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA018768%22&limit=1|https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,
