year,official_nmes_approved,nme_comparable_rows,completeness_ratio,verdict,engine_use,source_table
1977,25,17,0.68,PROJECT_SHORT_FLAGGED,DOWN_WEIGHT_SHORTFALL,pre1980_year_audit.csv
1978,17,18,1.0,PROJECT_EXCEEDS_OFFICIAL,OVER_COUNT_REVIEW,pre1980_year_audit.csv
1979,14,13,0.9286,PROJECT_SHORT_FLAGGED,DOWN_WEIGHT_SHORTFALL,pre1980_year_audit.csv
1980,12,9,0.75,PROJECT_SHORT_FLAGGED,DOWN_WEIGHT_SHORTFALL,fda_official_series_crosswalk.csv
1981,27,23,0.8519,PROJECT_SHORT_FLAGGED,DOWN_WEIGHT_SHORTFALL,fda_official_series_crosswalk.csv
1982,28,25,0.8929,PROJECT_SHORT_FLAGGED,DOWN_WEIGHT_SHORTFALL,fda_official_series_crosswalk.csv
1983,14,13,0.9286,PROJECT_SHORT_FLAGGED,DOWN_WEIGHT_SHORTFALL,fda_official_series_crosswalk.csv
1984,22,19,0.8636,PROJECT_SHORT_FLAGGED,DOWN_WEIGHT_SHORTFALL,fda_official_series_crosswalk.csv
1985,30,31,1.0,PROJECT_EXCEEDS_OFFICIAL,OVER_COUNT_REVIEW,fda_official_series_crosswalk.csv
1986,20,23,1.0,PROJECT_EXCEEDS_OFFICIAL,OVER_COUNT_REVIEW,fda_official_series_crosswalk.csv
1987,21,22,1.0,PROJECT_EXCEEDS_OFFICIAL,OVER_COUNT_REVIEW,fda_official_series_crosswalk.csv
1988,21,20,0.9524,PROJECT_SHORT_FLAGGED,DOWN_WEIGHT_SHORTFALL,fda_official_series_crosswalk.csv
1989,22,27,1.0,PROJECT_EXCEEDS_OFFICIAL,OVER_COUNT_REVIEW,fda_official_series_crosswalk.csv
1990,23,24,1.0,PROJECT_EXCEEDS_OFFICIAL,OVER_COUNT_REVIEW,fda_official_series_crosswalk.csv
1991,30,32,1.0,PROJECT_EXCEEDS_OFFICIAL,OVER_COUNT_REVIEW,fda_official_series_crosswalk.csv
1992,26,29,1.0,PROJECT_EXCEEDS_OFFICIAL,OVER_COUNT_REVIEW,fda_official_series_crosswalk.csv
1993,25,27,1.0,PROJECT_EXCEEDS_OFFICIAL,OVER_COUNT_REVIEW,fda_official_series_crosswalk.csv
1994,22,23,1.0,PROJECT_EXCEEDS_OFFICIAL,OVER_COUNT_REVIEW,fda_official_series_crosswalk.csv
1995,28,30,1.0,PROJECT_EXCEEDS_OFFICIAL,OVER_COUNT_REVIEW,fda_official_series_crosswalk.csv
1996,53,59,1.0,PROJECT_EXCEEDS_OFFICIAL,OVER_COUNT_REVIEW,fda_official_series_crosswalk.csv
1997,39,43,1.0,PROJECT_EXCEEDS_OFFICIAL,OVER_COUNT_REVIEW,fda_official_series_crosswalk.csv
1998,30,36,1.0,PROJECT_EXCEEDS_OFFICIAL,OVER_COUNT_REVIEW,fda_official_series_crosswalk.csv
1999,35,37,1.0,PROJECT_EXCEEDS_OFFICIAL,OVER_COUNT_REVIEW,fda_official_series_crosswalk.csv
2000,27,29,1.0,PROJECT_EXCEEDS_OFFICIAL,OVER_COUNT_REVIEW,fda_official_series_crosswalk.csv
2001,24,29,1.0,PROJECT_EXCEEDS_OFFICIAL,OVER_COUNT_REVIEW,fda_official_series_crosswalk.csv
2002,17,23,1.0,PROJECT_EXCEEDS_OFFICIAL,OVER_COUNT_REVIEW,fda_official_series_crosswalk.csv
2003,21,27,1.0,PROJECT_EXCEEDS_OFFICIAL,OVER_COUNT_REVIEW,fda_official_series_crosswalk.csv
2004,36,36,1.0,MATCH,FULL,fda_official_series_crosswalk.csv
2005,20,20,1.0,MATCH,FULL,fda_official_series_crosswalk.csv
2006,22,22,1.0,MATCH,FULL,fda_official_series_crosswalk.csv
2007,18,18,1.0,MATCH,FULL,fda_official_series_crosswalk.csv
2008,24,24,1.0,MATCH,FULL,fda_official_series_crosswalk.csv
2009,26,26,1.0,MATCH,FULL,fda_official_series_crosswalk.csv
2010,21,21,1.0,MATCH,FULL,fda_official_series_crosswalk.csv
2011,30,30,1.0,MATCH,FULL,fda_official_series_crosswalk.csv
2012,39,39,1.0,MATCH,FULL,fda_official_series_crosswalk.csv
2013,29,27,0.931,PROJECT_SHORT_FLAGGED,DOWN_WEIGHT_SHORTFALL,fda_official_series_crosswalk.csv
2014,41,42,1.0,PROJECT_EXCEEDS_OFFICIAL,OVER_COUNT_REVIEW,fda_official_series_crosswalk.csv
2015,45,45,1.0,MATCH,FULL,fda_official_series_crosswalk.csv
2016,22,22,1.0,MATCH,FULL,fda_official_series_crosswalk.csv
2017,46,46,1.0,MATCH,FULL,fda_official_series_crosswalk.csv
2018,59,59,1.0,MATCH,FULL,fda_official_series_crosswalk.csv
2019,48,48,1.0,MATCH,FULL,fda_official_series_crosswalk.csv
2020,53,53,1.0,MATCH,FULL,fda_official_series_crosswalk.csv
2021,50,50,1.0,MATCH,FULL,fda_official_series_crosswalk.csv
2022,37,37,1.0,MATCH,FULL,fda_official_series_crosswalk.csv
2023,,55,,AWAITING_OFFICIAL_SERIES,NO_OFFICIAL_DENOMINATOR,fda_official_series_crosswalk.csv
2024,,50,,AWAITING_OFFICIAL_SERIES,NO_OFFICIAL_DENOMINATOR,fda_official_series_crosswalk.csv
2025,,46,,AWAITING_OFFICIAL_SERIES,NO_OFFICIAL_DENOMINATOR,fda_official_series_crosswalk.csv
2026,,40,,AWAITING_OFFICIAL_SERIES,NO_OFFICIAL_DENOMINATOR,fda_official_series_crosswalk.csv
