audit_id,year,application_number,application_kind,drug_brand,drug_generic,openfda_holder,payload_decision_date,payload_class_code,payload_class_description,payload_review_priority,tracked_in,tracked_row_id,tracked_table_date,tracked_table_class,tracked_table_priority,date_agreement,class_agreement,priority_agreement,matched_via,verdict,review_flag,source_url_drugsatfda,source_query_url
F1980-001,1980,NDA018254,NDA,DEXTROSE 5% AND RINGER'S IN PLASTIC CONTAINER,CALCIUM CHLORIDE 33MG/100ML; DEXTROSE 5GM/100ML; POTASSIUM CHLORIDE 30MG/100ML; SODIUM CHLORIDE 860MG/100ML,HOSPIRA,1980-01-15,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,fda_original_non_nme_decisions.csv,O-NDA018254,1980-01-15,TYPE 5,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018254,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19800101%20TO%2019801231]&limit=1000&skip=0"
F1980-002,1980,NDA050533,NDA,VIBRA-TABS,DOXYCYCLINE HYCLATE EQ 100MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,PFIZER,1980-01-15,TYPE 3,Type 3 - New Dosage Form,STANDARD,fda_original_non_nme_decisions.csv,O-NDA050533,1980-01-15,TYPE 3,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=050533,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19800101%20TO%2019801231]&limit=1000&skip=0"
F1980-003,1980,NDA018234,NDA,HALOG-E,HALCINONIDE 0.1%,SUN PHARM INDS INC,1980-01-24,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,fda_original_non_nme_decisions.csv,O-NDA018234,1980-01-24,TYPE 5,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018234,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19800101%20TO%2019801231]&limit=1000&skip=0"
F1980-004,1980,NDA018459,NDA,LEUCOVORIN CALCIUM,LEUCOVORIN CALCIUM EQ 5MG BASE,XANODYNE PHARM,1980-02-08,,,,fda_original_non_nme_decisions.csv,O-NDA018459,1980-02-08,,,YES,BOTH_NOT_STATED,BOTH_NOT_STATED,application_number,TRACKED_REVIEW,payload published no submission_class_code | payload published no review_priority,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018459,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19800101%20TO%2019801231]&limit=1000&skip=0"
F1980-005,1980,NDA018233,NDA,STERILE WATER FOR INJECTION IN PLASTIC CONTAINER,WATER,OTSUKA ICU MEDCL,1980-02-18,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,fda_original_non_nme_decisions.csv,O-NDA018233,1980-02-18,TYPE 5,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018233,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19800101%20TO%2019801231]&limit=1000&skip=0"
F1980-006,1980,NDA018313,NDA,STERILE WATER IN PLASTIC CONTAINER,WATER,OTSUKA ICU MEDCL,1980-02-22,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,fda_original_non_nme_decisions.csv,O-NDA018313,1980-02-22,TYPE 5,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018313,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19800101%20TO%2019801231]&limit=1000&skip=0"
F1980-007,1980,NDA018314,NDA,SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,SODIUM CHLORIDE,OTSUKA ICU MEDCL,1980-02-22,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,fda_original_non_nme_decisions.csv,O-NDA018314,1980-02-22,TYPE 5,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018314,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19800101%20TO%2019801231]&limit=1000&skip=0"
F1980-008,1980,NDA018315,NDA,GLYCINE 1.5% IN PLASTIC CONTAINER,GLYCINE,OTSUKA ICU MEDCL,1980-02-22,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,fda_original_non_nme_decisions.csv,O-NDA018315,1980-02-22,TYPE 5,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018315,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19800101%20TO%2019801231]&limit=1000&skip=0"
F1980-009,1980,NDA018316,NDA,SORBITOL-MANNITOL IN PLASTIC CONTAINER,SORBITOL AND MANNITOL,OTSUKA ICU MEDCL,1980-02-22,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,fda_original_non_nme_decisions.csv,O-NDA018316,1980-02-22,TYPE 5,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018316,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19800101%20TO%2019801231]&limit=1000&skip=0"
F1980-010,1980,NDA018309,NDA,TOPICORT LP,DESOXIMETASONE 0.05% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,TARO,1980-03-28,TYPE 3,Type 3 - New Dosage Form,STANDARD,fda_original_non_nme_decisions.csv,O-NDA018309,1980-03-28,TYPE 3,STANDARD,YES,YES,YES,application_number,TRACKED_VERIFIED,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018309,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19800101%20TO%2019801231]&limit=1000&skip=0"
