record_id,year,application_number,kind,appl_no,decision_date,submission_class_code,submission_class_code_description,review_priority,products_verbatim,in_openfda_payload,classification,drugsatfda_url,openfda_url,verification_status,notes
FULLDB-1965-UNRES01,1965,,UNRESOLVED,015132,1965-01-29,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,,FALSE,KIND_UNRESOLVED (application type not published),https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=015132,,Named from the full Drugs@FDA database files,"ORIG/AP row in the official Drugs@FDA Submissions file whose ApplNo the application-type source (the unfiltered Applications_all_types.txt when present, else the payload-filtered window extract) does not contain, so no NDA/ANDA/BLA type can be asserted; the openFDA payloads do not carry it and the Drugs@FDA application page publishes nothing (spot-checked 2026-09-19; control NDA050495 renders in full). Where the unfiltered map is present, its absence means no Applications record exists for the ApplNo anywhere in the Drugs@FDA database. Recorded as a review candidate, never added as an approval."
FULLDB-1965-UNRES02,1965,,UNRESOLVED,061107,1965-04-21,,,,,FALSE,KIND_UNRESOLVED (application type not published),https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=061107,,Named from the full Drugs@FDA database files,"ORIG/AP row in the official Drugs@FDA Submissions file whose ApplNo the application-type source (the unfiltered Applications_all_types.txt when present, else the payload-filtered window extract) does not contain, so no NDA/ANDA/BLA type can be asserted; the openFDA payloads do not carry it and the Drugs@FDA application page publishes nothing (spot-checked 2026-09-19; control NDA050495 renders in full). Where the unfiltered map is present, its absence means no Applications record exists for the ApplNo anywhere in the Drugs@FDA database. Recorded as a review candidate, never added as an approval."
FULLDB-1965-UNRES03,1965,,UNRESOLVED,050362,1965-05-13,UNKNOWN,,UNKNOWN,,FALSE,KIND_UNRESOLVED (application type not published),https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=050362,,Named from the full Drugs@FDA database files,"ORIG/AP row in the official Drugs@FDA Submissions file whose ApplNo the application-type source (the unfiltered Applications_all_types.txt when present, else the payload-filtered window extract) does not contain, so no NDA/ANDA/BLA type can be asserted; the openFDA payloads do not carry it and the Drugs@FDA application page publishes nothing (spot-checked 2026-09-19; control NDA050495 renders in full). Where the unfiltered map is present, its absence means no Applications record exists for the ApplNo anywhere in the Drugs@FDA database. Recorded as a review candidate, never added as an approval."
FULLDB-1965-UNRES04,1965,,UNRESOLVED,050363,1965-05-13,UNKNOWN,,UNKNOWN,,FALSE,KIND_UNRESOLVED (application type not published),https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=050363,,Named from the full Drugs@FDA database files,"ORIG/AP row in the official Drugs@FDA Submissions file whose ApplNo the application-type source (the unfiltered Applications_all_types.txt when present, else the payload-filtered window extract) does not contain, so no NDA/ANDA/BLA type can be asserted; the openFDA payloads do not carry it and the Drugs@FDA application page publishes nothing (spot-checked 2026-09-19; control NDA050495 renders in full). Where the unfiltered map is present, its absence means no Applications record exists for the ApplNo anywhere in the Drugs@FDA database. Recorded as a review candidate, never added as an approval."
FULLDB-1965-UNRES05,1965,,UNRESOLVED,060178,1965-05-21,,,,,FALSE,KIND_UNRESOLVED (application type not published),https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=060178,,Named from the full Drugs@FDA database files,"ORIG/AP row in the official Drugs@FDA Submissions file whose ApplNo the application-type source (the unfiltered Applications_all_types.txt when present, else the payload-filtered window extract) does not contain, so no NDA/ANDA/BLA type can be asserted; the openFDA payloads do not carry it and the Drugs@FDA application page publishes nothing (spot-checked 2026-09-19; control NDA050495 renders in full). Where the unfiltered map is present, its absence means no Applications record exists for the ApplNo anywhere in the Drugs@FDA database. Recorded as a review candidate, never added as an approval."
FULLDB-1965-UNRES06,1965,,UNRESOLVED,060478,1965-05-23,,,,,FALSE,KIND_UNRESOLVED (application type not published),https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=060478,,Named from the full Drugs@FDA database files,"ORIG/AP row in the official Drugs@FDA Submissions file whose ApplNo the application-type source (the unfiltered Applications_all_types.txt when present, else the payload-filtered window extract) does not contain, so no NDA/ANDA/BLA type can be asserted; the openFDA payloads do not carry it and the Drugs@FDA application page publishes nothing (spot-checked 2026-09-19; control NDA050495 renders in full). Where the unfiltered map is present, its absence means no Applications record exists for the ApplNo anywhere in the Drugs@FDA database. Recorded as a review candidate, never added as an approval."
FULLDB-1965-UNRES07,1965,,UNRESOLVED,014228,1965-05-24,,,,,FALSE,KIND_UNRESOLVED (application type not published),https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=014228,,Named from the full Drugs@FDA database files,"ORIG/AP row in the official Drugs@FDA Submissions file whose ApplNo the application-type source (the unfiltered Applications_all_types.txt when present, else the payload-filtered window extract) does not contain, so no NDA/ANDA/BLA type can be asserted; the openFDA payloads do not carry it and the Drugs@FDA application page publishes nothing (spot-checked 2026-09-19; control NDA050495 renders in full). Where the unfiltered map is present, its absence means no Applications record exists for the ApplNo anywhere in the Drugs@FDA database. Recorded as a review candidate, never added as an approval."
FULLDB-1965-UNRES08,1965,,UNRESOLVED,060131,1965-06-25,,,,,FALSE,KIND_UNRESOLVED (application type not published),https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=060131,,Named from the full Drugs@FDA database files,"ORIG/AP row in the official Drugs@FDA Submissions file whose ApplNo the application-type source (the unfiltered Applications_all_types.txt when present, else the payload-filtered window extract) does not contain, so no NDA/ANDA/BLA type can be asserted; the openFDA payloads do not carry it and the Drugs@FDA application page publishes nothing (spot-checked 2026-09-19; control NDA050495 renders in full). Where the unfiltered map is present, its absence means no Applications record exists for the ApplNo anywhere in the Drugs@FDA database. Recorded as a review candidate, never added as an approval."
FULLDB-1965-UNRES09,1965,,UNRESOLVED,060773,1965-06-25,,,,,FALSE,KIND_UNRESOLVED (application type not published),https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=060773,,Named from the full Drugs@FDA database files,"ORIG/AP row in the official Drugs@FDA Submissions file whose ApplNo the application-type source (the unfiltered Applications_all_types.txt when present, else the payload-filtered window extract) does not contain, so no NDA/ANDA/BLA type can be asserted; the openFDA payloads do not carry it and the Drugs@FDA application page publishes nothing (spot-checked 2026-09-19; control NDA050495 renders in full). Where the unfiltered map is present, its absence means no Applications record exists for the ApplNo anywhere in the Drugs@FDA database. Recorded as a review candidate, never added as an approval."
FULLDB-1965-UNRES10,1965,,UNRESOLVED,060774,1965-07-08,,,,,FALSE,KIND_UNRESOLVED (application type not published),https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=060774,,Named from the full Drugs@FDA database files,"ORIG/AP row in the official Drugs@FDA Submissions file whose ApplNo the application-type source (the unfiltered Applications_all_types.txt when present, else the payload-filtered window extract) does not contain, so no NDA/ANDA/BLA type can be asserted; the openFDA payloads do not carry it and the Drugs@FDA application page publishes nothing (spot-checked 2026-09-19; control NDA050495 renders in full). Where the unfiltered map is present, its absence means no Applications record exists for the ApplNo anywhere in the Drugs@FDA database. Recorded as a review candidate, never added as an approval."
