year,official_nmes_approved,official_ndas_approved,payload_orig_ap_total,payload_type1_14_rows,payload_blank_unknown_rows,verified_decision_rows,nme_comparable_rows,delta_nme_comparable_vs_official,verdict,live_population_total,live_population_check,live_captures,key_irregularities,evidence_note,source_urls
1965,18,53,32,11,7,11,11,-7,PROJECT_SHORT_FLAGGED,52,Live 2026-09-19 ORIG/AP population re-query meta.results.total = 52 (V21 year-population capture),V21-C02,"Sulfamethoxazole class/date inversion: suspension NDA013664 TYPE 5 approved 1965-07-01, 55 days BEFORE the TYPE 1 tablet NDA012715 (1965-08-25), same holder ROCHE - both verified live on the Drugs@FDA website (V21-C09/V21-C10); counted once via the TYPE 1 row. Second class/date inversion surfaced by the extended 1939-1979 screen: Cordran NDA012806 (TYPE 1, 1965-10-18) carries the same brand and ingredient as Cordran lotion NDA013790 (TYPE 3, 1963-03-19, INA PHARMS) - a supplemental-class record 27 months BEFORE the TYPE 1 record with no parent application published in the payloads; flurandrenolide counted once via the TYPE 1 row, flagged not corrected. 2 blank-class and 5 UNKNOWN-class payload rows (FDA publishes no submission class); Santyl BLA101995 publishes UNKNOWN priority. THAM NDA013025 is TYPE 1/4 and is the +1 on the NME-comparable basis.",Official 18 NMEs vs 11 NME-comparable payload rows (10 TYPE 1 + 1 TYPE 1/4): shortfall of 7. Live population re-query 2026-09-19 total=52 equals the manifest n_raw_records (52) for the year. Every one of the 11 rows carries a live per-row MATCH probe. The v20 full-database cross-check proved 0 payload-invisible originals for 1977-1979; the same conclusion cannot be transferred to 1965 without repeating that cross-check for the year.,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|data/raw/openfda_orig_decisions_1965_1969/decisions_1965.json|data/raw/pre1980_row_probes_1965_1976/manifest.json|data/raw/pre1980_year_populations_1965_1976/manifest.json
1966,10,40,16,7,3,7,7,-3,PROJECT_SHORT_FLAGGED,42,Live 2026-09-19 ORIG/AP population re-query meta.results.total = 42 (V21 year-population capture),,"Ovulen-21 NDA016029 is TYPE 1/4 (NME + new combination) and is the +1 on the NME-comparable basis; Type-1-only count is 6. 2 blank-class and 1 UNKNOWN-class payload rows. Three separate applications share the 1966-07-01 ORIG date (Sulla, Vercyte, Lasix) - published verbatim, not merged.",Official 10 NMEs vs 7 NME-comparable payload rows (6 TYPE 1 + 1 TYPE 1/4): shortfall of 3. Official NDA approvals 40 vs 22 payload ORIG/AP applications - the official contemporaneous counts include applications no longer present in the modern database.,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|data/raw/openfda_orig_decisions_1965_1969/decisions_1966.json|data/raw/pre1980_row_probes_1965_1976/manifest.json|data/raw/pre1980_year_populations_1965_1976/manifest.json
1967,16,189,32,13,3,13,13,-3,PROJECT_SHORT_FLAGGED,57,Live 2026-09-19 ORIG/AP population re-query meta.results.total = 57 (V21 year-population capture),,No first-appearance flags in the Type-1 set. 1 blank-class and 2 UNKNOWN-class payload rows. Hydroxyurea NDA016295 carries both DROXIA and HYDREA products under one application; the display brand is the payload's first product (DROXIA) and no approval-era trade name is asserted.,"Official 16 NMEs vs 13 NME-comparable payload rows: shortfall of 3. The official NDA-approvals figure for 1967 (189) is 5.9x the payload ORIG/AP application population (32) - the single largest official-vs-database divergence in the block, published verbatim from both sources.",https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|data/raw/openfda_orig_decisions_1965_1969/decisions_1967.json|data/raw/pre1980_row_probes_1965_1976/manifest.json|data/raw/pre1980_year_populations_1965_1976/manifest.json
1968,14,59,22,4,3,4,4,-10,PROJECT_SHORT_FLAGGED,43,Live 2026-09-19 ORIG/AP population re-query meta.results.total = 43 (V21 year-population capture),,"Smallest pre-1980 enumeration (4 rows) against 14 official NMEs: the largest relative shortfall in the block (-10). Ovral NDA016672 is TYPE 1/4. 3 blank-class payload rows. The official NDA-approvals count (59) is also ~2.7x the payload ORIG/AP population (22), i.e. the shortfall is not specific to NMEs.","Official 14 NMEs vs 4 NME-comparable payload rows (3 TYPE 1 + 1 TYPE 1/4): shortfall of 10, the largest pre-1980 shortfall after 1975. Naming these 10 requires the 1989 CDER statistical typescript; no candidate is asserted.",https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|data/raw/openfda_orig_decisions_1965_1969/decisions_1968.json|data/raw/pre1980_row_probes_1965_1976/manifest.json|data/raw/pre1980_year_populations_1965_1976/manifest.json
1969,5,38,25,8,4,8,8,3,PROJECT_EXCEEDS_OFFICIAL,49,Live 2026-09-19 ORIG/AP population re-query meta.results.total = 49 (V21 year-population capture),,"PROJECT_EXCEEDS_OFFICIAL: 8 enumerated vs 5 official (+3). Every one of the 8 was checked individually (Quide, Teslac, Travase, Cytarabine, Matulane, Sinequan, Bilopaque, HMS) and each is a payload TYPE 1 original with a live MATCH probe; the divergence is between FDA's contemporaneous NME statistic and its modern application-level classification, and is published as measured, not smoothed. Travase NDA012828 and QUIDE NDA013615 carry 1950s-series application numbers with 1969 ORIG dates - flagged as numbering/date pairings, dates confirmed live.","Official 5 NMEs vs 8 NME-comparable payload rows: the project EXCEEDS the official count by 3. Each row was probed live and matched field-by-field, so the divergence is between FDA's 1969 NME statistic and its current application-level TYPE 1 classification. Both numbers are published side by side; neither is adjusted.",https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|data/raw/openfda_orig_decisions_1965_1969/decisions_1969.json|data/raw/pre1980_row_probes_1965_1976/manifest.json|data/raw/pre1980_year_populations_1965_1976/manifest.json
1970,15,51,38,11,8,11,11,-4,PROJECT_SHORT_FLAGGED,74,Live 2026-09-19 ORIG/AP population re-query meta.results.total = 74 (V21 year-population capture),V21-C03,"Cuprimine NDA019853 (penicillamine, ORIG-1 1970-12-04, TYPE 1, STANDARD) carries an application number out of sequence for 1970; the date is confirmed on both openFDA and the Drugs@FDA website (V21-C04/V21-C05), so the row is published as FDA carries it and the numbering anomaly is flagged for review (same class as the open NDA022046 artifact). 5 blank-class and 3 UNKNOWN-class payload rows.",Official 15 NMEs vs 11 NME-comparable payload rows: shortfall of 4. Live population re-query 2026-09-19 total=74 equals the manifest n_raw_records (74).,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|data/raw/openfda_orig_decisions_1970_1974/decisions_1970.json|data/raw/pre1980_row_probes_1965_1976/manifest.json|data/raw/pre1980_year_populations_1965_1976/manifest.json
1971,12,26,48,7,10,7,7,-5,PROJECT_SHORT_FLAGGED,130,Live 2026-09-19 ORIG/AP population re-query meta.results.total = 130 (V21 year-population capture),,"Only 7 TYPE 1 rows among 48 ORIG/AP approvals - 31 TYPE 5 (new formulation/manufacturer) and 8 UNKNOWN-class rows; the year's low NME-comparable count is an FDA classification property of the payload, verified row by row. No first-appearance flags in the Type-1 set.","Official 12 NMEs vs 7 NME-comparable payload rows: shortfall of 5. 48 ORIG/AP approvals in the year, of which 31 are TYPE 5 (new formulation or new manufacturer) and 8 publish no class at all - the enumeration is complete but FDA's TYPE 1 classification is sparse for this year.",https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|data/raw/openfda_orig_decisions_1970_1974/decisions_1971.json|data/raw/pre1980_row_probes_1965_1976/manifest.json|data/raw/pre1980_year_populations_1965_1976/manifest.json
1972,10,57,29,7,7,7,7,-3,PROJECT_SHORT_FLAGGED,194,Live 2026-09-19 ORIG/AP population re-query meta.results.total = 194 (V21 year-population capture),,Marcaine NDA016964 publishes 10 products across four brand strings; the display product is the plain MARCAINE HYDROCHLORIDE (bupivacaine hydrochloride) product and all 10 are listed verbatim in the row notes. Epinephrine bitartrate appears as a combination component (adjudicated). 1 blank-class and 6 UNKNOWN-class rows.,Official 10 NMEs vs 7 NME-comparable payload rows: shortfall of 3.,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|data/raw/openfda_orig_decisions_1970_1974/decisions_1972.json|data/raw/pre1980_row_probes_1965_1976/manifest.json|data/raw/pre1980_year_populations_1965_1976/manifest.json
1973,14,50,43,11,1,11,11,-3,PROJECT_SHORT_FLAGGED,230,Live 2026-09-19 ORIG/AP population re-query meta.results.total = 230 (V21 year-population capture),,"Septra NDA017376 is TYPE 1/4 (sulfamethoxazole appears earlier on Gantanol). Blenoxane NDA050443 publishes UNKNOWN priority. Catapres tablets NDA017407 (TYPE 3, PRIORITY, BOEHRINGER INGELHEIM) publish clonidine with the same top-level payload date (1974-09-03) as Combipres NDA017503 (TYPE 1/4, 1974-09-03) - the committed payloads support no earlier date, so the pairing is published as same-day and clonidine is adjudicated a combination component. 1 UNKNOWN-class payload row.",Official 14 NMEs vs 11 NME-comparable payload rows (10 TYPE 1 + 1 TYPE 1/4): shortfall of 3.,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|data/raw/openfda_orig_decisions_1970_1974/decisions_1973.json|data/raw/pre1980_row_probes_1965_1976/manifest.json|data/raw/pre1980_year_populations_1965_1976/manifest.json
1974,21,85,73,16,0,16,16,-5,PROJECT_SHORT_FLAGGED,366,Live 2026-09-19 ORIG/AP population re-query meta.results.total = 366 (V21 year-population capture),,"Largest pre-1980 enumeration (16 rows). Miconazole sibling inversion: Monistat-Derm cream NDA017494 TYPE 5 approved 1974-01-08, 22 days before the TYPE 1 Monistat 7 (1974-01-30) - counted once. Combipres NDA017503 is TYPE 1/4. Pre-Pen BLA050114 is a biologics-licence-numbered application carrying a TYPE 1 class. 57 TYPE 5 rows and no blank/UNKNOWN rows in the year.",Official 21 NMEs vs 16 NME-comparable payload rows (15 TYPE 1 + 1 TYPE 1/4): shortfall of 5.,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|data/raw/openfda_orig_decisions_1970_1974/decisions_1974.json|data/raw/pre1980_row_probes_1965_1976/manifest.json|data/raw/pre1980_year_populations_1965_1976/manifest.json
