direction,approval_year,brand,generic,applicant,application,approval_date,compilation_review,compilation_accelerated,reconciliation_status,matched_via,master_decision_id,master_flag,openfda_crosscheck,compilation_source
compilation→master,1985,Baros Effervescent,"tartaric acid, sodium bicarbonate",Mallinckrodt,NDA18509,1985-08-07,Standard,N/A,MATCHED,appl NDA18509,D1035,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Betagan,levobunolol hydrochloride,Allergan,NDA19219,1985-12-19,Standard,N/A,MATCHED,appl NDA19219,D1044,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Betoptic,betaxolol hydrochloride,Alcon,NDA19270,1985-08-30,Priority,N/A,MATCHED,appl NDA19270,D1036,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Carnitor,L-carnitine,Sigma-Tau,NDA18948,1985-12-27,Priority,N/A,MATCHED,appl NDA18948,D1052,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Cefotan,cefotetan disodium,Stuart,NDA50588,1985-12-27,Standard,N/A,MATCHED,appl NDA50588,D1053,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Cesamet,nabilone,Eli Lilly,NDA18677,1985-12-26,Standard,N/A,MATCHED,appl NDA18677,D1050,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Cordarone,amiodarone hydrochloride,Ives,NDA18972,1985-12-24,Priority,N/A,MATCHED,appl NDA18972,D1046,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Cuprid,trientine hydrochloride,Merck Sharp & Dohme,NDA19194,1985-11-08,Priority,N/A,MATCHED,appl NDA19194,D1041,COMPILATION_ONLY,MATCH_VIA_GENERIC,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Dormalin,quazepam,Schering,NDA18708,1985-12-27,Standard,N/A,MATCHED,appl NDA18708,D1054,COMPILATION_ONLY,MATCH_VIA_GENERIC,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Femstat,butoconazole nitrate,Syntex,NDA19215,1985-11-25,Standard,N/A,MATCHED,appl NDA19215,D1042,COMPILATION_ONLY,NOT_IN_OPENFDA,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Fortaz,ceftazidime,Glaxo,NDA50578,1985-07-19,Priority,N/A,MATCHED,appl NDA50578,D1033,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Hexabrix,"ioxaglate meglumine, ioxaglate sodium",Mallinckrodt,NDA18905,1985-07-26,Standard,N/A,MATCHED,appl NDA18905,D1034,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Isovue,iopamidol,Squibb,NDA18735,1985-12-31,Standard,N/A,MATCHED,appl NDA18735,D1058,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Lupron,leuprolide acetate,TAP Pharmaceuticals,NDA19010,1985-04-09,Priority,N/A,MATCHED,appl NDA19010,D1029,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Marinol,dronabinol,Unimed,NDA18651,1985-05-31,Priority,N/A,MATCHED,appl NDA18651,D1032,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Mexitil,mexiletine hydrochloride,Boehringer Ingelheim Pharmaceuticals,NDA18873,1985-12-30,Priority,N/A,MATCHED,appl NDA18873,D1056,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Moctanin,monooctanoin,Ascot Hospital,NDA19368,1985-10-29,Priority,N/A,MATCHED,appl NDA19368,D1039,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Omnipaque,iohexol,Sterling,NDA18956,1985-12-26,Standard,N/A,MATCHED,appl NDA18956,D1051,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Primaxin,"cilastatin sodium, imipenem",Merck Sharp & Dohme,NDA50587,1985-11-26,Priority,N/A,MATCHED,appl NDA50587,D1043,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Protropin,somatrem,Genentech,NDA19107,1985-10-17,Priority,N/A,MATCHED,appl NDA19107,D1038,COMPILATION_ONLY,NOT_IN_OPENFDA,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Ridaura,auranofin,SmithKline & French,NDA18689,1985-05-24,Priority,N/A,MATCHED,appl NDA18689,D1031,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Seldane,terfenadine,Merrell-Dow,NDA18949,1985-05-08,Priority,N/A,MATCHED,appl NDA18949,D1030,COMPILATION_ONLY,NOT_IN_OPENFDA,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Sulcosyn,sulconazole nitrate,Syntex,NDA18738,1985-08-30,Standard,N/A,MATCHED,appl NDA18738,D1037,COMPILATION_ONLY,MATCH_VIA_GENERIC,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Suprol,suprofen,Ortho,NDA18217,1985-12-24,Standard,N/A,MATCHED,appl NDA18217,D1047,COMPILATION_ONLY,NOT_IN_OPENFDA,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Tambocor,flecainide acetate,Riker,NDA18830,1985-10-31,Priority,N/A,MATCHED,appl NDA18830,D1040,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Temovate,clobetasol propionate,Glaxo,NDA19322;NDA19323,1985-12-27,Standard,N/A,MATCHED,appl NDA19322,D1055,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
