year,official_source_url,source_type,coverage_status,notes
1998,https://web.archive.org/web/20051016001622/http://www.fda.gov/cder/rdmt/nmecy98.htm,"CDER ""NMEs Approved in Calendar Year 1998"" table (fda.gov/cder/rdmt/nmecy98.htm, Wayback capture 2005-10-16; 30 NDA rows) cross-checked line-by-line vs CDER Novel Drug Approvals Compilation (media/177921) approval-year-1998 section (36 rows) and openFDA Drugs@FDA application-number + ORIG approval-date queries","Imported - 36 rows in master (30 CDER-table NDA rows + 6 CBER-licensed biologics/other Compilation rows: Simulect, Synagis, Infasurf, Remicade, Herceptin, Enbrel - each flagged in row notes)","Imported 2026-09-17 (scripts/build_backfill_1998_and_fixes.py; verbatim staging data/staging/fda_nme_1998_verbatim.json). openFDA re-verified 29 of 30 CDER rows by application number + exact ORIG approval date from the sandbox, and the bulk 1998 ORIG/AP payload captured on the GitHub runner (fetch run 13, data/raw/openfda_orig_decisions_2011_2026/decisions_1998.json, 102 records) confirms 35 of 36 rows including all 6 Compilation-only CBER-era BLAs (Simulect, Synagis, Infasurf, Remicade, Herceptin, Enbrel). Refludan (NDA 020807, lepirudin) is the only row absent from openFDA/Drugs@FDA and is flagged. Decision-date tickers for since-acquired issuers (BOL, PNU, CORR, MEDI, CELG, FRX, CNTO, QTRN, DITI, GNE, GELX, IMNX, GENZ, CEPH, MTC) were each verified from a contemporaneous release/filing quoting the exchange:symbol string (see row notes). Left blank/flagged: Hoechst Marion Roussel (Refludan, Priftin - Frankfurt-listed parent, no US ADR verified), DuPont Pharmaceuticals (Sustiva - no separate equity), Glaxo Wellcome decision-date ADR symbol not re-verified (GSK used per master precedent), Arava applicant-of-record Quintiles vs developer HMR, Azopt (Alcon wholly owned by Nestle in 1998), Atacand (Astra Merck JV). No CDER NME year table exists for 1997 or earlier on fda.gov/Wayback; pre-1998 would have to come from the Compilation alone."
1999,https://web.archive.org/web/20090709174613/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081686.htm,"FDA NME Drug and New Biologic Approvals 1999 (Wayback capture, ""Updated through December 31, 1999"") cross-checked line-by-line vs CDER Novel Drug Approvals Compilation (media/177921) approval-year-1999 section","Imported - 37 rows in master (35 archived-table rows + Ontak/Wellferon from Compilation, flagged)","Archived 1999 table lists 35 NDA rows and has no BLA section (therapeutic biologics were CBER-licensed pre-BPCI). FDA current Compilation lists 37 for approval-year 1999: 35 match date-for-date; Ontak BLA103767 (2/5/1999) and Wellferon BLA103760 (3/25/1999) are Compilation-only via NDA-to-BLA transition - included with flags. Quirks kept verbatim: ""Ferrlicit"" (for Ferrlecit), INOmax typos, UCB/UCP applicant-spelling divergence, N050778/N050747 PLR numbers. Imported 2026-09-12 (D954-D990)."
2000,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,FDA NME/New Biologic Approvals 2000 (Wayback capture of FDA year table),Imported - 27 of 27 rows in master,"Imported into master this pass (build_backfill_2000_2019.py, 2026-09-12); verbatim staging in data/staging/; per-row source links in master."
2001,https://web.archive.org/web/20090709174616/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081684.htm,FDA NME/New Biologic Approvals 2001 (Wayback capture of FDA year table),Imported - 24 of 24 rows in master,"Imported into master this pass (build_backfill_2000_2019.py, 2026-09-12); verbatim staging in data/staging/; per-row source links in master."
2002,https://web.archive.org/web/20090709174607/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081683.htm,FDA NME/New Biologic Approvals 2002 (Wayback capture of FDA year table),Imported - 17 of 17 rows in master,"Imported into master this pass (build_backfill_2000_2019.py, 2026-09-12); verbatim staging in data/staging/; per-row source links in master."
2003,https://web.archive.org/web/20090709174608/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081680.htm,FDA NME/New Biologic Approvals 2003 (Wayback capture of FDA year table),Imported - 21 of 21 rows in master,"Imported into master this pass (build_backfill_2000_2019.py, 2026-09-12); verbatim staging in data/staging/; per-row source links in master."
2004,https://web.archive.org/web/20090709174612/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081677.htm,FDA NME/New Biologic Approvals 2004 (Wayback capture of FDA year table),Imported - 36 of 36 rows in master,"Imported into master this pass (build_backfill_2000_2019.py, 2026-09-12); verbatim staging in data/staging/; per-row source links in master."
2005,https://web.archive.org/web/20090709174606/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081676.htm,FDA NME/New Biologic Approvals 2005 (Wayback capture of FDA year table),Imported - 20 of 20 rows in master,"Imported into master this pass (build_backfill_2000_2019.py, 2026-09-12); verbatim staging in data/staging/; per-row source links in master."
2006,https://web.archive.org/web/20090709174614/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081673.htm,FDA NME/New Biologic Approvals 2006 (Wayback capture of FDA year table),Imported - 22 of 22 rows in master,"Imported into master this pass (build_backfill_2000_2019.py, 2026-09-12); verbatim staging in data/staging/; per-row source links in master."
2007,https://web.archive.org/web/20090709174615/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081690.htm,FDA NME/New Biologic Approvals 2007 (Wayback capture of FDA year table),Imported - 18 of 18 rows in master,"Imported into master this pass (build_backfill_2000_2019.py, 2026-09-12); verbatim staging in data/staging/; per-row source links in master."
2008,https://web.archive.org/web/20090709172207if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/UCM081805.pdf,"FDA NME/New Biologic Approvals 2008 (UCM081805.pdf, frozen through 11/30/2008) + Drugs@FDA (Mozobil) + CDER Novel Drug Approvals Compilation media/177921 (Dec-2008 rows)",Imported - 24 of 24 rows in master (2008 gap CLOSED 2026-09-12),"Resolved via CDER Compilation: Lusedra NDA022244 (Eisai, 12/12), Vasovist NDA021711 (Epix, 12/22), Firmagon NDA022201 (Ferring, 12/24). Compilation lists 25 rows for approval year 2008 vs official count 24; difference = Emend IV (fosaprepitant, NDA022023, 1/25/2008), which FDA itself excluded from the official 2008 NME/new-biologic table and the 24-novel count (active moiety aprepitant already approved 2003) - not added to master. Eliminated (CBER, not CDER): Xyntha, Cinryze, Berinert. Veramyst approved 2007."
2009,https://web.archive.org/web/20160514110748if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/UCM091096.pdf,FDA NME/New Biologic Approvals 2009 (Wayback capture of UCM091096.pdf final version),Imported - 26 of 26 rows in master,"Imported into master this pass (build_backfill_2000_2019.py, 2026-09-12); verbatim staging in data/staging/; per-row source links in master. FDA PDF prints Samsca as NDA 022775 (true number N022275) - kept verbatim with flag."
2010,https://web.archive.org/web/20110614054533if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/UCM242677.pdf,FDA Novel Drug Approvals 2010 (Wayback capture of UCM242677.pdf),Imported - 21 of 21 rows in master,"Imported into master this pass (build_backfill_2000_2019.py, 2026-09-12); verbatim staging in data/staging/; per-row source links in master."
