decision_id,year,application_number,drug_brand,drug_generic,company_name,corporate_lineage_and_ticker,decision_type,decision_date,chemical_type_code,chemical_type_description,review_priority,indication,regulatory_milestone,source_url_1,source_url_2,verification_status,notes
PRE1965-1942-02,1942,NDA 004782,PREMARIN,"ESTROGENS, CONJUGATED",WYETH PHARMS (Drugs@FDA holder of record; approval-era applicant lineage not pinned; holder cross-checked against the full official Drugs@FDA database 2026-09),No ticker assigned: historical applicant and period listing require separate primary-source corporate resolution; no inference made.,APPROVAL (ORIGINAL NDA),1942-05-08,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,Pre-1965 original approval (Drugs@FDA era begins 1939); indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=004782,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA004782%22,Payload-verified (live probe layer pending),"v26 (2026-09-21) added from the committed openFDA Drugs@FDA payload (data/raw/openfda_orig_decisions_1939_1964/decisions_1942.json, SHA-256 verified against the 2026-09-19 runner manifest). Payload: ORIG/AP 1942-05-08, TYPE 1, STANDARD, holder WYETH PHARMS, product PREMARIN (ESTROGENS, CONJUGATED 2.5MG; TABLET; ORAL; Discontinued). Ingredient screen: first appearance in the 1939-1964 payload universe (Drugs@FDA coverage before 1965 is incomplete: re-approval screen, not proof of first marketing). No ticker or indication asserted; the openFDA sponsor is the current Drugs@FDA holder of record, not asserted as the approval-era applicant."
PRE1965-1942-03,1942,NDA 005010,DEMEROL,MEPERIDINE,QUAGEN (Drugs@FDA holder of record; approval-era applicant lineage not pinned; holder cross-checked against the full official Drugs@FDA database 2026-09),No ticker assigned: historical applicant and period listing require separate primary-source corporate resolution; no inference made.,APPROVAL (ORIGINAL NDA),1942-11-10,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,Pre-1965 original approval (Drugs@FDA era begins 1939); indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=005010,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA005010%22,Payload-verified (live probe layer pending),"v26 (2026-09-21) added from the committed openFDA Drugs@FDA payload (data/raw/openfda_orig_decisions_1939_1964/decisions_1942.json, SHA-256 verified against the 2026-09-19 runner manifest). Payload: ORIG/AP 1942-11-10, TYPE 1, STANDARD, holder QUAGEN, product DEMEROL (MEPERIDINE HYDROCHLORIDE 100MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**; TABLET; ORAL; Discontinued). Ingredient screen: first appearance in the 1939-1964 payload universe (Drugs@FDA coverage before 1965 is incomplete: re-approval screen, not proof of first marketing). No ticker or indication asserted; the openFDA sponsor is the current Drugs@FDA holder of record, not asserted as the approval-era applicant."
PRE1965-1943-01,1943,NDA 005213,HYCODAN,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,GENUS (Drugs@FDA holder of record; approval-era applicant lineage not pinned; holder cross-checked against the full official Drugs@FDA database 2026-09),No ticker assigned: historical applicant and period listing require separate primary-source corporate resolution; no inference made.,APPROVAL (ORIGINAL NDA),1943-03-23,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,Pre-1965 original approval (Drugs@FDA era begins 1939); indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=005213,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA005213%22,Payload-verified (live probe layer pending),"v26 (2026-09-21) added from the committed openFDA Drugs@FDA payload (data/raw/openfda_orig_decisions_1939_1964/decisions_1943.json, SHA-256 verified against the 2026-09-19 runner manifest). Payload: ORIG/AP 1943-03-23, TYPE 1, STANDARD, holder GENUS, product HYCODAN (HOMATROPINE METHYLBROMIDE 1.5MG/5ML; HYDROCODONE BITARTRATE 5MG/5ML; SYRUP; ORAL; Prescription). Ingredient screen: first appearance in the 1939-1964 payload universe (Drugs@FDA coverage before 1965 is incomplete: re-approval screen, not proof of first marketing). No ticker or indication asserted; the openFDA sponsor is the current Drugs@FDA holder of record, not asserted as the approval-era applicant."
PRE1965-1945-01,1945,NDA 005657,TUBOCURARINE CHLORIDE,TUBOCURARINE,BRISTOL MYERS SQUIBB (Drugs@FDA holder of record; approval-era applicant lineage not pinned; holder cross-checked against the full official Drugs@FDA database 2026-09),No ticker assigned: historical applicant and period listing require separate primary-source corporate resolution; no inference made.,APPROVAL (ORIGINAL NDA),1945-02-20,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,Pre-1965 original approval (Drugs@FDA era begins 1939); indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=005657,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA005657%22,Payload-verified (live probe layer pending),"v26 (2026-09-21) added from the committed openFDA Drugs@FDA payload (data/raw/openfda_orig_decisions_1939_1964/decisions_1945.json, SHA-256 verified against the 2026-09-19 runner manifest). Payload: ORIG/AP 1945-02-20, TYPE 1, PRIORITY, holder BRISTOL MYERS SQUIBB, product TUBOCURARINE CHLORIDE (TUBOCURARINE CHLORIDE 3MG/ML; INJECTABLE; INJECTION; Discontinued). Ingredient screen: first appearance in the 1939-1964 payload universe (Drugs@FDA coverage before 1965 is incomplete: re-approval screen, not proof of first marketing). No ticker or indication asserted; the openFDA sponsor is the current Drugs@FDA holder of record, not asserted as the approval-era applicant."
PRE1965-1946-03,1946,NDA 005845,BENADRYL,DIPHENHYDRAMINE,MCNEIL CONS (Drugs@FDA holder of record; approval-era applicant lineage not pinned; holder cross-checked against the full official Drugs@FDA database 2026-09),No ticker assigned: historical applicant and period listing require separate primary-source corporate resolution; no inference made.,APPROVAL (ORIGINAL NDA),1946-03-04,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,Pre-1965 original approval (Drugs@FDA era begins 1939); indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=005845,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA005845%22,Payload-verified (live probe layer pending),"v26 (2026-09-21) added from the committed openFDA Drugs@FDA payload (data/raw/openfda_orig_decisions_1939_1964/decisions_1946.json, SHA-256 verified against the 2026-09-19 runner manifest). Payload: ORIG/AP 1946-03-04, TYPE 1, STANDARD, holder MCNEIL CONS, product BENADRYL (DIPHENHYDRAMINE HYDROCHLORIDE 25MG; CAPSULE; ORAL; Discontinued). Ingredient screen: first appearance in the 1939-1964 payload universe (Drugs@FDA coverage before 1965 is incomplete: re-approval screen, not proof of first marketing). No ticker or indication asserted; the openFDA sponsor is the current Drugs@FDA holder of record, not asserted as the approval-era applicant."
PRE1965-1946-07,1946,NDA 005970,SOTRADECOL,SODIUM,ELKINS SINN (Drugs@FDA holder of record; approval-era applicant lineage not pinned; holder cross-checked against the full official Drugs@FDA database 2026-09),No ticker assigned: historical applicant and period listing require separate primary-source corporate resolution; no inference made.,APPROVAL (ORIGINAL NDA),1946-08-13,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,Pre-1965 original approval (Drugs@FDA era begins 1939); indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=005970,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA005970%22,Payload-verified (live probe layer pending),"v26 (2026-09-21) added from the committed openFDA Drugs@FDA payload (data/raw/openfda_orig_decisions_1939_1964/decisions_1946.json, SHA-256 verified against the 2026-09-19 runner manifest). Payload: ORIG/AP 1946-08-13, TYPE 1, PRIORITY, holder ELKINS SINN, product SOTRADECOL (SODIUM TETRADECYL SULFATE 3% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**; INJECTABLE; INJECTION; Discontinued). Ingredient screen: first appearance in the 1939-1964 payload universe (Drugs@FDA coverage before 1965 is incomplete: re-approval screen, not proof of first marketing). No ticker or indication asserted; the openFDA sponsor is the current Drugs@FDA holder of record, not asserted as the approval-era applicant."
PRE1965-1948-01,1948,NDA 005914,PBZ,TRIPELENNAMINE,NOVARTIS (Drugs@FDA holder of record; approval-era applicant lineage not pinned; holder cross-checked against the full official Drugs@FDA database 2026-09),No ticker assigned: historical applicant and period listing require separate primary-source corporate resolution; no inference made.,APPROVAL (ORIGINAL NDA),1948-02-19,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,Pre-1965 original approval (Drugs@FDA era begins 1939); indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=005914,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA005914%22,Payload-verified (live probe layer pending),"v26 (2026-09-21) added from the committed openFDA Drugs@FDA payload (data/raw/openfda_orig_decisions_1939_1964/decisions_1948.json, SHA-256 verified against the 2026-09-19 runner manifest). Payload: ORIG/AP 1948-02-19, TYPE 1, STANDARD, holder NOVARTIS, product PBZ (TRIPELENNAMINE CITRATE EQ 25MG HYDROCHLORIDE/5ML; ELIXIR; ORAL; Discontinued). Ingredient screen: first appearance in the 1939-1964 payload universe (Drugs@FDA coverage before 1965 is incomplete: re-approval screen, not proof of first marketing). No ticker or indication asserted; the openFDA sponsor is the current Drugs@FDA holder of record, not asserted as the approval-era applicant."
PRE1965-1948-04,1948,NDA 006412,DECAPRYN,DOXYLAMINE,SANOFI AVENTIS US (Drugs@FDA holder of record; approval-era applicant lineage not pinned; holder cross-checked against the full official Drugs@FDA database 2026-09),No ticker assigned: historical applicant and period listing require separate primary-source corporate resolution; no inference made.,APPROVAL (ORIGINAL NDA),1948-04-07,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,Pre-1965 original approval (Drugs@FDA era begins 1939); indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=006412,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA006412%22,Payload-verified (live probe layer pending),"v26 (2026-09-21) added from the committed openFDA Drugs@FDA payload (data/raw/openfda_orig_decisions_1939_1964/decisions_1948.json, SHA-256 verified against the 2026-09-19 runner manifest). Payload: ORIG/AP 1948-04-07, TYPE 1, STANDARD, holder SANOFI AVENTIS US, product DECAPRYN (DOXYLAMINE SUCCINATE 12.5MG; TABLET; ORAL; Discontinued). Ingredient screen: first appearance in the 1939-1964 payload universe (Drugs@FDA coverage before 1965 is incomplete: re-approval screen, not proof of first marketing). No ticker or indication asserted; the openFDA sponsor is the current Drugs@FDA holder of record, not asserted as the approval-era applicant."
PRE1965-1949-01,1949,NDA 006632,METUBINE IODIDE,METOCURINE,LILLY (Drugs@FDA holder of record; approval-era applicant lineage not pinned; holder cross-checked against the full official Drugs@FDA database 2026-09),No ticker assigned: historical applicant and period listing require separate primary-source corporate resolution; no inference made.,APPROVAL (ORIGINAL NDA),1949-01-04,TYPE 1,Type 1 - New Molecular Entity,STANDARD,,Pre-1965 original approval (Drugs@FDA era begins 1939); indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=006632,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA006632%22,Payload-verified (live probe layer pending),"v26 (2026-09-21) added from the committed openFDA Drugs@FDA payload (data/raw/openfda_orig_decisions_1939_1964/decisions_1949.json, SHA-256 verified against the 2026-09-19 runner manifest). Payload: ORIG/AP 1949-01-04, TYPE 1, STANDARD, holder LILLY, product METUBINE IODIDE (METOCURINE IODIDE 2MG/ML; INJECTABLE; INJECTION; Discontinued). Ingredient screen: first appearance in the 1939-1964 payload universe (Drugs@FDA coverage before 1965 is incomplete: re-approval screen, not proof of first marketing). No ticker or indication asserted; the openFDA sponsor is the current Drugs@FDA holder of record, not asserted as the approval-era applicant."
PRE1965-1949-02,1949,NDA 006695,MUSTARGEN,MECHLORETHAMINE,RECORDATI RARE (Drugs@FDA holder of record; approval-era applicant lineage not pinned; holder cross-checked against the full official Drugs@FDA database 2026-09),No ticker assigned: historical applicant and period listing require separate primary-source corporate resolution; no inference made.,APPROVAL (ORIGINAL NDA),1949-03-15,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,,Pre-1965 original approval (Drugs@FDA era begins 1939); indication and lineage are not asserted without an approval-era primary record.,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=006695,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA006695%22,Payload-verified (live probe layer pending),"v26 (2026-09-21) added from the committed openFDA Drugs@FDA payload (data/raw/openfda_orig_decisions_1939_1964/decisions_1949.json, SHA-256 verified against the 2026-09-19 runner manifest). Payload: ORIG/AP 1949-03-15, TYPE 1, PRIORITY, holder RECORDATI RARE, product MUSTARGEN (MECHLORETHAMINE HYDROCHLORIDE 10MG/VIAL; INJECTABLE; INJECTION; Discontinued). Ingredient screen: first appearance in the 1939-1964 payload universe (Drugs@FDA coverage before 1965 is incomplete: re-approval screen, not proof of first marketing). No ticker or indication asserted; the openFDA sponsor is the current Drugs@FDA holder of record, not asserted as the approval-era applicant."
