capture_id,capture_date,system,subject,url,finding_summary,project_table_affected,project_row_ids,project_effect,verbatim_evidence_ref
V17-C01,2026-09-19,FDA Drugs@FDA application-history page,NDA 018830 Tambocor - live Drugs@FDA original-approval row,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018830,"ORIG-1 10/31/1985, Type 1 - New Molecular Entity, STANDARD (third FDA-family STANDARD corroboration)",fda_decisions_master.csv,D1040,"conflict recorded, both values retained (Compilation Priority / Drugs@FDA STANDARD)",data/raw/source_captures_2026_09_19/live_primary_captures_2026_09_19.json
V17-C02,2026-09-19,FDA Drugs@FDA application-history page,NDA 018615 Sulfatrim - live Drugs@FDA original-approval row,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018615,ORIG-1 01/07/1983 Approval with blank Submission Classification and blank Review Priority,fda_original_non_nme_decisions.csv,O-NDA018615,confirms the TRACKED_REVIEW condition is a genuine FDA source gap,data/raw/source_captures_2026_09_19/live_primary_captures_2026_09_19.json
V17-C03,2026-09-19,openFDA Drugs@FDA API (api.fda.gov),NDA 018949 Seldane - openFDA API record,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA018949%22&limit=1,NOT_FOUND (application absent from openFDA's Drugs@FDA dataset),fda_decisions_master.csv,D1030,precision added to the completeness-gap note,data/raw/source_captures_2026_09_19/live_primary_captures_2026_09_19.json
V17-C04,2026-09-19,FDA Drugs@FDA application-history page,NDA 018949 Seldane - live Drugs@FDA page,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=018949,"empty application shell: number resolves, no products and no approval history published",fda_decisions_master.csv,D1030,precision added to the completeness-gap note,data/raw/source_captures_2026_09_19/live_primary_captures_2026_09_19.json
V17-C05,2026-09-19,openFDA Drugs@FDA API (api.fda.gov),NDA 019107 Protropin - openFDA API record,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA019107%22&limit=1,NOT_FOUND for the application number and for brand PROTROPIN,fda_decisions_master.csv,D1038,row remains Compilation-only; feeds the 1985 +1 reconciliation,data/raw/source_captures_2026_09_19/live_primary_captures_2026_09_19.json
V17-C06,2026-09-19,FDA Drugs@FDA application-history page,NDA 019107 Protropin - live Drugs@FDA page,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=019107,empty application shell,fda_decisions_master.csv,D1038,row remains Compilation-only; feeds the 1985 +1 reconciliation,data/raw/source_captures_2026_09_19/live_primary_captures_2026_09_19.json
V17-C07,2026-09-19,openFDA Drugs@FDA API (api.fda.gov),NDA 018217 Suprol / NDA 019215 Femstat - openFDA API records,https://api.fda.gov/drug/drugsfda.json?search=application_number:(NDA018217+OR+NDA019215)&limit=5,Femstat present as a product record with NO submissions array; Suprol absent entirely,fda_decisions_master.csv,D1047; D1042,two distinct conditions now documented separately,data/raw/source_captures_2026_09_19/live_primary_captures_2026_09_19.json
V17-C08,2026-09-19,openFDA Drugs@FDA API (api.fda.gov),NDA 018509 Baros Effervescent - openFDA API record,https://api.fda.gov/drug/drugsfda.json?search=application_number:(NDA019107+OR+NDA018509)&limit=5,"ORIG-1 1985-08-07, TYPE 1, STANDARD, Mallinckrodt - Compilation row independently corroborated",fda_decisions_master.csv,D1035,rules Baros out as the 1985 +1 row,data/raw/source_captures_2026_09_19/live_primary_captures_2026_09_19.json
V17-C09,2026-09-19,Wayback Machine (archive.org),NDA 018830 1985 review PDF - Wayback Machine,https://web.archive.org/web/20240929073454/https://www.accessdata.fda.gov/drugsatfda_docs/nda/pre96/018830Orig1s000rev.pdf,5 captures exist (30 Mar 2021 - 30 Mar 2025); raw replay endpoints and the live PDF both returned HTTP 500 to automation,fda_decisions_master.csv,D1040,human browser read is the single remaining step to settle the designation,data/raw/source_captures_2026_09_19/live_primary_captures_2026_09_19.json
V17-C11,2026-09-19,openFDA Drugs@FDA API (api.fda.gov),Furosemide - pre-1980 original approvals (openFDA),https://api.fda.gov/drug/drugsfda.json?search=products.active_ingredients.name:%22FUROSEMIDE%22+AND+submissions.submission_type:%22ORIG%22+AND+submissions.submission_status:%22AP%22+AND+submissions.submission_status_date:%5B19000101+TO+19791231%5D&limit=2,a 1968-03-20 ORIG-1 approval of furosemide (TYPE 3) is served by the API: the 1983/1984 furosemide originals are re-approvals of a molecule first approved in 1968,pre1985_fda_decisions.csv,PRE1985-1983-07,supplies the substantive evidence that the blank-class inventory is duplicative; proves pre-1980 payloads are fetchable,data/raw/source_captures_2026_09_19/live_primary_captures_2026_09_19.json
V17-C12,2026-09-19,openFDA Drugs@FDA API (api.fda.gov),Furosemide 1980-1984 originals incl. NDA018413 (openFDA),https://api.fda.gov/drug/drugsfda.json?search=products.active_ingredients.name:%22FUROSEMIDE%22+AND+submissions.submission_type:%22ORIG%22+AND+submissions.submission_status:%22AP%22+AND+submissions.submission_status_date:%5B19800101+TO+19841231%5D&limit=2,an ORIG-1 dated 1983-11-30 with no class code and no priority reproduces the NDA018413 condition live,pre1985_fda_decisions.csv,PRE1985-1983-07,corroborates the pre-1985 table's NOT STATED values from a second FDA route,data/raw/source_captures_2026_09_19/live_primary_captures_2026_09_19.json
V17-C10,2026-09-19,Committed FDA CDER NME Compilation workbook (local parse),1985 Compilation section - local workbook parse,data/raw/probe/fda_nme_compilation_1985_2025.xlsx (source: https://www.fda.gov/media/177921/download?attachment; SHA-256 in data/raw/probe/manifest.json),"31 rows (18 Priority / 13 Standard); Tambocor row read verbatim as 'Priority'; dataset-wide 1,108 NDA / 279 BLA",fda_decisions_master.csv,D1040 + all 1985 rows,"proves the master's Priority value traces to the FDA cell, not a transcription error",data/raw/source_captures_2026_09_19/live_primary_captures_2026_09_19.json
