row_id,year,application_number,application_kind,decision_date,submission_class_code,submission_class_code_description,review_priority,nme_comparable,classification_group,sponsor_name_drugsatfda_holder,first_product_brand,first_product_ingredients,first_product_form_route,n_products,first_product_marketing_status,ingredient_first_appearance,ingredient_screen,tracked_in,live_probe_status,drugsatfda_url,openfda_url,verification_status,notes
PRE1980AUDIT-1977-01,1977,NDA017535,NDA,1977-02-01,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,TRUE,NME (Type 1),SANOFI AVENTIS US,Lorelco,PROBUCOL 250MG,TABLET; ORAL,2,Discontinued,first-in-payloads,first-in-payloads (1965-1979 screen),PRE1980-1977-01,PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017535,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017535%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-02,1977,NDA017781,NDA,1977-02-01,TYPE 3,Type 3 - New Dosage Form,STANDARD,FALSE,Type 3 - New Dosage Form,SCHERING,DIPROSONE,BETAMETHASONE DIPROPIONATE EQ 0.05% BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,LOTION; TOPICAL,1,Discontinued,BETAMETHASONE DIPROPIONATE first 1975-01-29 on NDA017536,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017781,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017781%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-03,1977,NDA017413,NDA,1977-02-22,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,FALSE,Type 5 - New Formulation or New Manufacturer,3M,SCRUBTEAM SURGICAL SPONGEBRUSH,HEXACHLOROPHENE 330MG,SPONGE; TOPICAL,1,Discontinued,HEXACHLOROPHENE first 1974-09-18 on NDA017411,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017413,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017413%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-04,1977,NDA017661,NDA,1977-02-25,TYPE 1,Type 1 - New Molecular Entity,STANDARD,TRUE,NME (Type 1),NOVARTIS,Tavist-1,CLEMASTINE FUMARATE 1.34MG,TABLET; ORAL,3,Discontinued,first-in-payloads,first-in-payloads (1965-1979 screen),PRE1980-1977-02,PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017661,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017661%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-05,1977,NDA017856,NDA,1977-02-28,TYPE 1,Type 1 - New Molecular Entity,STANDARD,TRUE,NME (Type 1),TARO,Topicort,DESOXIMETASONE 0.25% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,CREAM; TOPICAL,1,Discontinued,first-in-payloads,first-in-payloads (1965-1979 screen),PRE1980-1977-03,PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017856,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017856%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-06,1977,NDA017422,NDA,1977-03-07,TYPE 1,Type 1 - New Molecular Entity,STANDARD,TRUE,NME (Type 1),AVET LIFESCIENCES,Bicnu,CARMUSTINE 100MG/VIAL,INJECTABLE; INJECTION,1,Prescription,first-in-payloads,first-in-payloads (1965-1979 screen),PRE1980-1977-04,PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017422,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017422%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-07,1977,NDA017688,NDA,1977-03-08,TYPE 3,Type 3 - New Dosage Form,STANDARD,FALSE,Type 3 - New Dosage Form,SANOFI AVENTIS US,LASIX,FUROSEMIDE 10MG/ML,SOLUTION; ORAL,1,Discontinued,FUROSEMIDE first 1966-07-01 on NDA016273,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017688,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017688%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-08,1977,NDA017601,NDA,1977-03-29,TYPE 1,Type 1 - New Molecular Entity,STANDARD,TRUE,NME (Type 1),SCHERING,Optimine,AZATADINE MALEATE 1MG,TABLET; ORAL,1,Discontinued,first-in-payloads,first-in-payloads (1965-1979 screen),PRE1980-1977-05,PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017601,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017601%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-09,1977,NDA017667,NDA,1977-04-01,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,FALSE,Type 5 - New Formulation or New Manufacturer,GE HEALTHCARE,MPI STANNOUS DIPHOSPHONATE,TECHNETIUM TC-99M ETIDRONATE KIT N/A,INJECTABLE; INJECTION,1,Discontinued,TECHNETIUM TC-99M ETIDRONATE KIT first 1973-09-28 on NDA017454,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017667,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017667%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-10,1977,NDA017563,NDA,1977-04-04,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,TRUE,NME (Type 1),PFIZER,Colestid,COLESTIPOL HYDROCHLORIDE 5GM/PACKET,GRANULE; ORAL,4,Prescription,first-in-payloads,first-in-payloads (1965-1979 screen),PRE1980-1977-06,PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017563,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017563%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
