row_id,application_number,probe_file,probe_url,probe_sha256,live_orig_date,live_class_code,live_review_priority,live_sponsor,status,checked_against_payload
PRE1965AUDIT-1939-01,NDA000552,probe_NDA000552.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA000552%22&limit=1000,8159fe6b67d294a76ee71408cd8e4106cf08657b7bdaa63549cded5d27a4fe88,1939-02-09,UNKNOWN,UNKNOWN,ASPEN GLOBAL INC,MATCH,date+class+priority+holder all equal
PRE1965AUDIT-1939-02,NDA000159,probe_NDA000159.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA000159%22&limit=1000,9e79be2e3a975b8be4d94e7a5101d1f17efba74d87d9ef7c555967b76dbf9ae3,1939-03-09,,,LILLY,MATCH,date+class+priority+holder all equal
PRE1965AUDIT-1939-03,NDA000734,probe_NDA000734.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA000734%22&limit=1000,513bfa8fae8c91aa7dee2143c842a8fe3b2af646f647b9d8551ae606083dc796,1939-04-25,,,LILLY,MATCH,date+class+priority+holder all equal
PRE1965AUDIT-1939-04,NDA000793,probe_NDA000793.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA000793%22&limit=1000,1d4fca468bedecb3d57d7a022ebb54ce10c3f95f037da29e57acb6e0b01e7c03,1939-06-05,UNKNOWN,UNKNOWN,PHARMOBEDIENT,MATCH,date+class+priority+holder all equal
PRE1965AUDIT-1939-05,NDA001104,probe_NDA001104.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA001104%22&limit=1000,398b548233365638473a28825c0ffe541444b95c56ee3744519eb943508d1543,1939-08-17,,,ORGANON USA INC,MATCH,date+class+priority+holder all equal
PRE1965AUDIT-1939-06,NDA001504,probe_NDA001504.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA001504%22&limit=1000,9cb195d29bd001b3d47e639a8fd87ecac77f338b1037dc93b511f900ff638572,1939-08-30,UNKNOWN,STANDARD,THE VERARD COMPANY,MATCH,date+class+priority+holder all equal
PRE1965AUDIT-1939-07,NDA001546,probe_NDA001546.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA001546%22&limit=1000,919025c9e87c4f3b7d03d0e386585fc891e0d674252a5bce5f558ef4a74fd11d,1939-10-02,UNKNOWN,UNKNOWN,MERCK SHARP DOHME,MATCH,date+class+priority+holder all equal
PRE1965AUDIT-1940-01,NDA002386,probe_NDA002386.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA002386%22&limit=1000,73f314009e9acf7b3c6cf9025c247c4ab4add751a4f6995a9740cb09f919b96c,1940-04-19,TYPE 5,STANDARD,GD SEARLE LLC,MATCH,date+class+priority+holder all equal
PRE1965AUDIT-1940-02,NDA002282,probe_NDA002282.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA002282%22&limit=1000,ffca1c54d8d95744041e7575974153ece917b6009ff673f5f9c937e4725e9e0e,1940-04-30,TYPE 4,STANDARD,ISO TEX,MATCH,date+class+priority+holder all equal
PRE1965AUDIT-1940-03,NDA002918,probe_NDA002918.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA002918%22&limit=1000,81c8e307f1b0a5061ce02d73d5c3759b4013da95d4e4d783886ed920df3bc2af,1940-09-17,UNKNOWN,UNKNOWN,POYTHRESS,MATCH,date+class+priority+holder all equal
PRE1965AUDIT-1941-01,NDA003444,probe_NDA003444.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA003444%22&limit=1000,56e5747506f99f6c041a78dce2bfa2438924ebd409fe0a27f4cfe3c70cbde6ba,1941-01-11,UNKNOWN,UNKNOWN,ESJAY PHARMA,MATCH,date+class+priority+holder all equal
PRE1965AUDIT-1941-02,NDA003977,probe_NDA003977.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA003977%22&limit=1000,7312a38c81fb42071d954c227fa78cf8e5d9f7e072e6f5d943c2d1fd65efe838,1941-06-12,UNKNOWN,UNKNOWN,PARKEDALE,MATCH,date+class+priority+holder all equal
PRE1965AUDIT-1941-03,NDA003718,probe_NDA003718.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA003718%22&limit=1000,82c64d39bfe834bdd50b906796c2b388eca7f04853e1d4222a0233bde066378c,1941-07-15,UNKNOWN,UNKNOWN,ROCHE,MATCH,date+class+priority+holder all equal
PRE1965AUDIT-1941-04,NDA004054,probe_NDA004054.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA004054%22&limit=1000,52410de51699b45845ef55e36e7c5bc75537d5652b93ca4ed1563e8c0f268ebb,1941-08-11,,,LEDERLE,MATCH,date+class+priority+holder all equal
PRE1965AUDIT-1941-05,NDA004122,probe_NDA004122.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA004122%22&limit=1000,e5f1d9d2f4af994b5891f1afcea43b235c8ad5e866087d28994a3f82c2597360,1941-08-26,TYPE 5,STANDARD,LILLY,MATCH,date+class+priority+holder all equal
PRE1965AUDIT-1942-01,NDA004570,probe_NDA004570.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA004570%22&limit=1000,4be18429becca860653834d27bc965f9ed2d12a8626580e0a8588866935d86e9,1942-02-05,UNKNOWN,UNKNOWN,PHARMACIA AND UPJOHN,MATCH,date+class+priority+holder all equal
PRE1965AUDIT-1942-02,NDA004782,probe_NDA004782.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA004782%22&limit=1000,f1fcd847f0c2772fc40701c0d4b9656d1d1fad7f84b66ffd526fffd5a437eeee,1942-05-08,TYPE 1,STANDARD,WYETH PHARMS,MATCH,date+class+priority+holder all equal
PRE1965AUDIT-1942-03,NDA005010,probe_NDA005010.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA005010%22&limit=1000,ac310ae88d7b98a6109f370eaed99b673317abcdb2b47ad9123fb7b84d30c2ee,1942-11-10,TYPE 1,STANDARD,QUAGEN,MATCH,date+class+priority+holder all equal
PRE1965AUDIT-1942-04,NDA021171,probe_NDA021171.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA021171%22&limit=1000,7692d69ee3ce1728ab05379cd8f69183e81c727db7104c45d67858fd326c1b35,1942-11-10,UNKNOWN,UNKNOWN,HOSPIRA,MATCH,date+class+priority+holder all equal
PRE1965AUDIT-1942-05,NDA005151,probe_NDA005151.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA005151%22&limit=1000,b83ba318441ed2c22dd4838fa39c2903a718d897ae941700d2f71ae0c7930284,1942-12-09,UNKNOWN,UNKNOWN,NOVARTIS,MATCH,date+class+priority+holder all equal
PRE1965AUDIT-1943-01,NDA005213,probe_NDA005213.json,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA005213%22&limit=1000,445163341afc9b18f97c103e8a60db75c25a021c6f0254b6bcc00b1b3f8aa318,1943-03-23,TYPE 1,STANDARD,GENUS,MATCH,date+class+priority+holder all equal
