company_name,ticker,us_investable_class,total_efficacy_supplements,distinct_drugs_expanded,priority_review_count,priority_review_share_pct,orphan_supplement_count,first_expansion_date,last_expansion_date,expansions_last_5y,expansion_velocity_per_yr,novel_approvals_tracked,breadth_ratio_suppl_per_novel,rows_flagged_for_review,evidence_basis,verification_status
Johnson & Johnson,JNJ,US-LISTED,273,57,93,34.1,40,2000-02-02,2026-08-28,51,10.2,28,9.75,2,"273 approved FDA efficacy supplements across 57 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=JNJ)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 2 row(s) flagged for review
Merck & Co.,MRK,US-LISTED,266,57,104,39.1,56,2000-10-23,2026-07-10,84,16.8,27,9.85,14,"266 approved FDA efficacy supplements across 57 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=MRK)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 14 row(s) flagged for review
AbbVie Inc.,ABBV,US-LISTED,224,68,52,23.2,50,2000-02-02,2026-06-26,48,9.6,10,22.4,7,"224 approved FDA efficacy supplements across 68 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=ABBV)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 7 row(s) flagged for review
Novartis AG,NVS,US-LISTED (ADR),224,58,89,39.7,72,2000-10-23,2026-07-31,55,11.0,38,5.89,3,"224 approved FDA efficacy supplements across 58 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=NVS)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 3 row(s) flagged for review
Bristol-Myers Squibb Company,BMY,US-LISTED,212,42,86,40.6,73,2000-01-18,2026-04-09,40,8.0,24,8.83,8,"212 approved FDA efficacy supplements across 42 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=BMY)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 8 row(s) flagged for review
Pfizer Inc.,PFE,US-LISTED,202,83,47,23.3,22,2000-04-20,2026-06-24,43,8.6,31,6.52,5,"202 approved FDA efficacy supplements across 83 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=PFE)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 5 row(s) flagged for review
AstraZeneca PLC,AZN,US-LISTED (ADR),158,37,49,31.0,32,2000-06-29,2026-06-12,49,9.8,25,6.32,1,"158 approved FDA efficacy supplements across 37 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=AZN)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 1 row(s) flagged for review
"Gilead Sciences, Inc.",GILD,US-LISTED,118,25,41,34.7,19,2003-08-15,2026-08-27,26,5.2,16,7.38,0,"118 approved FDA efficacy supplements across 25 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=GILD)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Eli Lilly and Company,LLY,US-LISTED,117,29,24,20.5,18,2000-04-04,2026-08-27,38,7.6,24,4.88,9,"117 approved FDA efficacy supplements across 29 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=LLY)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 9 row(s) flagged for review
Sanofi,SNY,US-LISTED (ADR),111,53,36,32.4,17,2000-05-05,2026-01-12,13,2.6,18,6.17,10,"111 approved FDA efficacy supplements across 53 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=SNY)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 10 row(s) flagged for review
