year,payload_orig_ap_count,manifest_raw_records,nme_type1_rows,nme_type14_rows,nme_rows_total,nme_counted_once,blank_class_rows,unknown_class_rows,priority_reviews,standard_reviews,official_fda_nme_count,official_ndas_approved,delta_nme_rows_vs_official,official_source_url,raw_payload,query_url,source_type,coverage_status,probe_status,notes
1939,7,7,0,0,0,0,3,4,0,1,,,n/a (no official per-year figure),https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,data/raw/openfda_orig_decisions_1939_1964/decisions_1939.json,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19390101%20TO%2019391231]&limit=1000&skip=0",openFDA Drugs@FDA ORIG/AP (NDA+BLA; same extraction as 1965-2026 blocks),Complete for the committed payload; Drugs@FDA pre-1965 coverage is itself incomplete (official caveat),pending (job queued: fetch_jobs/pre1965_row_probes_1939_1964.json),"openFDA Drugs@FDA ORIG/AP enumeration 1939 (NDA+BLA; the API returned 7 raw records, 7 unique application+date decisions after the extractor's de-duplication). 0 Type 1/1-4 (NME-comparable) of 7 rows; counted-once NME statistic: 0 (re-screening/sibling rows flagged, never corrected). Blank class: 3; UNKNOWN class: 4. All 7 application numbers verified present in the full official Drugs@FDA database with matching type and holder (0 mismatches). Official series: 1938-40 published combined (1782 NDAs, 2752 received; NMEs 14 qualified '1940 only') - no separate 1939/1940 figure exists in the official source."
1940,3,3,0,0,0,0,0,1,0,2,14 (1940 only),1782 (1938-40),n/a (no official per-year figure),https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,data/raw/openfda_orig_decisions_1939_1964/decisions_1940.json,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19400101%20TO%2019401231]&limit=1000&skip=0",openFDA Drugs@FDA ORIG/AP (NDA+BLA; same extraction as 1965-2026 blocks),Complete for the committed payload; Drugs@FDA pre-1965 coverage is itself incomplete (official caveat),pending (job queued: fetch_jobs/pre1965_row_probes_1939_1964.json),"openFDA Drugs@FDA ORIG/AP enumeration 1940 (NDA+BLA; the API returned 3 raw records, 3 unique application+date decisions after the extractor's de-duplication). 0 Type 1/1-4 (NME-comparable) of 3 rows; counted-once NME statistic: 0 (re-screening/sibling rows flagged, never corrected). Blank class: 0; UNKNOWN class: 1. All 3 application numbers verified present in the full official Drugs@FDA database with matching type and holder (0 mismatches). Official series: 1938-40 published combined (1782 NDAs, 2752 received; NMEs 14 qualified '1940 only') - no separate 1939/1940 figure exists in the official source."
1941,5,5,0,0,0,0,1,3,0,1,17,807,-17,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,data/raw/openfda_orig_decisions_1939_1964/decisions_1941.json,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19410101%20TO%2019411231]&limit=1000&skip=0",openFDA Drugs@FDA ORIG/AP (NDA+BLA; same extraction as 1965-2026 blocks),Complete for the committed payload; Drugs@FDA pre-1965 coverage is itself incomplete (official caveat),pending (job queued: fetch_jobs/pre1965_row_probes_1939_1964.json),"openFDA Drugs@FDA ORIG/AP enumeration 1941 (NDA+BLA; the API returned 5 raw records, 5 unique application+date decisions after the extractor's de-duplication). 0 Type 1/1-4 (NME-comparable) of 5 rows; counted-once NME statistic: 0 (re-screening/sibling rows flagged, never corrected). Blank class: 1; UNKNOWN class: 3. All 5 application numbers verified present in the full official Drugs@FDA database with matching type and holder (0 mismatches)."
1942,5,5,2,0,2,2,0,3,0,2,13,,-11,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,data/raw/openfda_orig_decisions_1939_1964/decisions_1942.json,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19420101%20TO%2019421231]&limit=1000&skip=0",openFDA Drugs@FDA ORIG/AP (NDA+BLA; same extraction as 1965-2026 blocks),Complete for the committed payload; Drugs@FDA pre-1965 coverage is itself incomplete (official caveat),pending (job queued: fetch_jobs/pre1965_row_probes_1939_1964.json),"openFDA Drugs@FDA ORIG/AP enumeration 1942 (NDA+BLA; the API returned 5 raw records, 5 unique application+date decisions after the extractor's de-duplication). 2 Type 1/1-4 (NME-comparable) of 5 rows; counted-once NME statistic: 2 (re-screening/sibling rows flagged, never corrected). Blank class: 0; UNKNOWN class: 3. All 5 application numbers verified present in the full official Drugs@FDA database with matching type and holder (0 mismatches)."
1943,4,4,1,0,1,1,1,1,0,2,10,1028 (1942-43),-9,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,data/raw/openfda_orig_decisions_1939_1964/decisions_1943.json,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19430101%20TO%2019431231]&limit=1000&skip=0",openFDA Drugs@FDA ORIG/AP (NDA+BLA; same extraction as 1965-2026 blocks),Complete for the committed payload; Drugs@FDA pre-1965 coverage is itself incomplete (official caveat),pending (job queued: fetch_jobs/pre1965_row_probes_1939_1964.json),"openFDA Drugs@FDA ORIG/AP enumeration 1943 (NDA+BLA; the API returned 4 raw records, 4 unique application+date decisions after the extractor's de-duplication). 1 Type 1/1-4 (NME-comparable) of 4 rows; counted-once NME statistic: 1 (re-screening/sibling rows flagged, never corrected). Blank class: 1; UNKNOWN class: 1. All 4 application numbers verified present in the full official Drugs@FDA database with matching type and holder (0 mismatches)."
1944,4,4,0,0,0,0,2,2,0,0,13,137,-13,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,data/raw/openfda_orig_decisions_1939_1964/decisions_1944.json,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19440101%20TO%2019441231]&limit=1000&skip=0",openFDA Drugs@FDA ORIG/AP (NDA+BLA; same extraction as 1965-2026 blocks),Complete for the committed payload; Drugs@FDA pre-1965 coverage is itself incomplete (official caveat),pending (job queued: fetch_jobs/pre1965_row_probes_1939_1964.json),"openFDA Drugs@FDA ORIG/AP enumeration 1944 (NDA+BLA; the API returned 4 raw records, 4 unique application+date decisions after the extractor's de-duplication). 0 Type 1/1-4 (NME-comparable) of 4 rows; counted-once NME statistic: 0 (re-screening/sibling rows flagged, never corrected). Blank class: 2; UNKNOWN class: 2. All 4 application numbers verified present in the full official Drugs@FDA database with matching type and holder (0 mismatches)."
1945,3,3,1,0,1,1,1,0,1,1,13,132,-12,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,data/raw/openfda_orig_decisions_1939_1964/decisions_1945.json,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19450101%20TO%2019451231]&limit=1000&skip=0",openFDA Drugs@FDA ORIG/AP (NDA+BLA; same extraction as 1965-2026 blocks),Complete for the committed payload; Drugs@FDA pre-1965 coverage is itself incomplete (official caveat),pending (job queued: fetch_jobs/pre1965_row_probes_1939_1964.json),"openFDA Drugs@FDA ORIG/AP enumeration 1945 (NDA+BLA; the API returned 3 raw records, 3 unique application+date decisions after the extractor's de-duplication). 1 Type 1/1-4 (NME-comparable) of 3 rows; counted-once NME statistic: 1 (re-screening/sibling rows flagged, never corrected). Blank class: 1; UNKNOWN class: 0. All 3 application numbers verified present in the full official Drugs@FDA database with matching type and holder (0 mismatches)."
1946,10,11,2,0,2,2,3,5,1,1,19,114,-17,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,data/raw/openfda_orig_decisions_1939_1964/decisions_1946.json,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19460101%20TO%2019461231]&limit=1000&skip=0",openFDA Drugs@FDA ORIG/AP (NDA+BLA; same extraction as 1965-2026 blocks),Complete for the committed payload; Drugs@FDA pre-1965 coverage is itself incomplete (official caveat),pending (job queued: fetch_jobs/pre1965_row_probes_1939_1964.json),"openFDA Drugs@FDA ORIG/AP enumeration 1946 (NDA+BLA; the API returned 11 raw records, 10 unique application+date decisions after the extractor's de-duplication). 2 Type 1/1-4 (NME-comparable) of 10 rows; counted-once NME statistic: 2 (re-screening/sibling rows flagged, never corrected). Blank class: 3; UNKNOWN class: 5. All 10 application numbers verified present in the full official Drugs@FDA database with matching type and holder (0 mismatches)."
1947,14,15,0,0,0,0,1,9,0,4,26,145,-26,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,data/raw/openfda_orig_decisions_1939_1964/decisions_1947.json,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19470101%20TO%2019471231]&limit=1000&skip=0",openFDA Drugs@FDA ORIG/AP (NDA+BLA; same extraction as 1965-2026 blocks),Complete for the committed payload; Drugs@FDA pre-1965 coverage is itself incomplete (official caveat),pending (job queued: fetch_jobs/pre1965_row_probes_1939_1964.json),"openFDA Drugs@FDA ORIG/AP enumeration 1947 (NDA+BLA; the API returned 15 raw records, 14 unique application+date decisions after the extractor's de-duplication). 0 Type 1/1-4 (NME-comparable) of 14 rows; counted-once NME statistic: 0 (re-screening/sibling rows flagged, never corrected). Blank class: 1; UNKNOWN class: 9. All 14 application numbers verified present in the full official Drugs@FDA database with matching type and holder (0 mismatches)."
1948,10,14,2,0,2,2,2,6,0,2,29,194,-27,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,data/raw/openfda_orig_decisions_1939_1964/decisions_1948.json,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19480101%20TO%2019481231]&limit=1000&skip=0",openFDA Drugs@FDA ORIG/AP (NDA+BLA; same extraction as 1965-2026 blocks),Complete for the committed payload; Drugs@FDA pre-1965 coverage is itself incomplete (official caveat),pending (job queued: fetch_jobs/pre1965_row_probes_1939_1964.json),"openFDA Drugs@FDA ORIG/AP enumeration 1948 (NDA+BLA; the API returned 14 raw records, 10 unique application+date decisions after the extractor's de-duplication). 2 Type 1/1-4 (NME-comparable) of 10 rows; counted-once NME statistic: 2 (re-screening/sibling rows flagged, never corrected). Blank class: 2; UNKNOWN class: 6. All 10 application numbers verified present in the full official Drugs@FDA database with matching type and holder (0 mismatches)."
1949,13,13,2,0,2,2,3,7,1,2,38,360,-36,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,data/raw/openfda_orig_decisions_1939_1964/decisions_1949.json,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19490101%20TO%2019491231]&limit=1000&skip=0",openFDA Drugs@FDA ORIG/AP (NDA+BLA; same extraction as 1965-2026 blocks),Complete for the committed payload; Drugs@FDA pre-1965 coverage is itself incomplete (official caveat),pending (job queued: fetch_jobs/pre1965_row_probes_1939_1964.json),"openFDA Drugs@FDA ORIG/AP enumeration 1949 (NDA+BLA; the API returned 13 raw records, 13 unique application+date decisions after the extractor's de-duplication). 2 Type 1/1-4 (NME-comparable) of 13 rows; counted-once NME statistic: 2 (re-screening/sibling rows flagged, never corrected). Blank class: 3; UNKNOWN class: 7. All 13 application numbers verified present in the full official Drugs@FDA database with matching type and holder (0 mismatches)."
1950,16,17,7,0,7,7,0,2,7,7,32,233,-25,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,data/raw/openfda_orig_decisions_1939_1964/decisions_1950.json,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19500101%20TO%2019501231]&limit=1000&skip=0",openFDA Drugs@FDA ORIG/AP (NDA+BLA; same extraction as 1965-2026 blocks),Complete for the committed payload; Drugs@FDA pre-1965 coverage is itself incomplete (official caveat),pending (job queued: fetch_jobs/pre1965_row_probes_1939_1964.json),"openFDA Drugs@FDA ORIG/AP enumeration 1950 (NDA+BLA; the API returned 17 raw records, 16 unique application+date decisions after the extractor's de-duplication). 7 Type 1/1-4 (NME-comparable) of 16 rows; counted-once NME statistic: 7 (re-screening/sibling rows flagged, never corrected). Blank class: 0; UNKNOWN class: 2. All 16 application numbers verified present in the full official Drugs@FDA database with matching type and holder (0 mismatches)."
