crl_row_id,master_crl_id,master_link_status,curated_candidate_ids,duplicate_letter_same_app_same_date,raw_file_name,company_name_verbatim,application_number_verbatim,application_number_normalised,application_kind,letter_date,letter_year,letter_type_verbatim,fda_approval_status_verbatim,later_original_approval_actions_observed,first_later_original_action_date,days_letter_to_first_later_original_action,later_any_approval_actions_observed,first_later_any_action_date,later_original_action_sources,later_any_action_types,conflict_flag,fda_application_url,replay_query_url,dataset_last_updated,evidence_source_files,verification_status,notes
CR-NDA210168-20240322,CR-NDA210168-20240322,JOINED,,FALSE,CRL_NDA210168_20240322.pdf,"Cipla USA, Inc.",NDA 210168,NDA210168,NDA,2024-03-22,2024,COMPLETE RESPONSE,Unapproved,0,,,0,,,,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA210168,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22CRL_NDA210168_20240322.pdf%22+AND+letter_date%3A%2203%2F22%2F2024%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-BLA761180-20210423,CR-BLA761180-20210423,JOINED,,FALSE,761180_2022_Orig1s000OtherActionLtrs.pdf,LEO Pharma A/S,BLA 761180,BLA761180,BLA,2021-04-23,2021,COMPLETE RESPONSE,Approved,1,2021-12-27,248,3,2021-12-27,openfda_orig_decisions_2011_2026,2021-12-27 ORIG; 2023-12-14 SUPPL; 2024-06-12 SUPPL,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=BLA761180,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22761180_2022_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2204%2F23%2F2021%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-NDA214429-20201112,C040,JOINED_CURATED_DATE_COMPANY,C040,FALSE,214429_2021_Orig1s000OtherActionLtrs.pdf,sanofi-aventis U.S. LLC,NDA 214429,NDA214429,NDA,2020-11-12,2020,COMPLETE RESPONSE,Approved,1,2021-07-16,246,1,2021-07-16,openfda_orig_decisions_2011_2026,2021-07-16 ORIG,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA214429,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22214429_2021_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2211%2F12%2F2020%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference. Linked to curated master row C040 on letter date plus corresponding company name, because the curated rows in data/fda_crl_master.csv publish no application number and cannot be joined on one. The link is date+name evidence; both verbatim names stay visible in the tables."
CR-NDA211150-20190814,CR-NDA211150-20190814,JOINED,,FALSE,211150Orig2s000OtherActionLtrs.pdf,Bioprojet Pharma,NDA 211150/Original 2|NDA 211150,NDA211150,NDA,2019-08-14,2019,COMPLETE RESPONSE,Approved,2,2020-10-13,426,6,2020-10-13,openfda_orig_decisions_2011_2026,2020-10-13 ORIG; 2024-06-21 SUPPL; 2026-02-13 SUPPL,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA211150,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22211150Orig2s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2208%2F14%2F2019%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-NDA214952-20220428,CR-NDA214952-20220428,JOINED,,FALSE,214952_2024_Orig1s000OtherActionLtrs.pdf,CMP Development LLC,NDA 214952,NDA214952,NDA,2022-04-28,2022,COMPLETE RESPONSE,Approved,1,2023-04-28,365,1,2023-04-28,openfda_orig_decisions_2011_2026,2023-04-28 ORIG,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA214952,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22214952_2024_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2204%2F28%2F2022%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-NDA215092-20211109,CR-NDA215092-20211109,JOINED,,FALSE,215092_2022_Orig1s000OtherActionLtrs.pdf,"Santen, Inc.",NDA 215092,NDA215092,NDA,2021-11-09,2021,COMPLETE RESPONSE,Approved,1,2022-09-22,317,1,2022-09-22,openfda_orig_decisions_2011_2026,2022-09-22 ORIG,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA215092,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22215092_2022_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2211%2F09%2F2021%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-BLA761463-20250922,CR-BLA761463-20250922,JOINED,,FALSE,CRL_BLA761463_20250922.pdf,"Scholar Rock, Inc.",BLA 761463,BLA761463,BLA,2025-09-22,2025,COMPLETE RESPONSE,Unapproved,1,2026-09-11,354,1,2026-09-11,openfda_orig_decisions_2011_2026,2026-09-11 ORIG,LATER_ORIGINAL_ACTION_OBSERVED_WHILE_FDA_FIELD_NOT_APPROVED,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=BLA761463,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22CRL_BLA761463_20250922.pdf%22+AND+letter_date%3A%2209%2F22%2F2025%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=LATER_ORIGINAL_ACTION_OBSERVED_WHILE_FDA_FIELD_NOT_APPROVED; the flag is raised for human review, never resolved by preference."
CR-BLA761082-20180510,CR-BLA761082-20180510,JOINED,,FALSE,761082_2022_Orig1s000OtherActionLtrs.pdf,"Adello Biologics, LLC",BLA 761082,BLA761082,BLA,2018-05-10,2018,COMPLETE RESPONSE,Approved,1,2022-02-25,1387,1,2022-02-25,openfda_orig_decisions_2011_2026,2022-02-25 ORIG,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=BLA761082,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22761082_2022_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2205%2F10%2F2018%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-BLA125522-20150827,C054,JOINED_CURATED_DATE_COMPANY,C054,FALSE,125522Orig2s000OtherActionLtrs.pdf,"Amgen, Inc.",BLA 125522,BLA125522,BLA,2015-08-27,2015,COMPLETE RESPONSE,Approved,1,2021-02-26,2010,5,2016-07-08,openfda_orig_decisions_2011_2026,2016-07-08 SUPPL; 2017-12-01 SUPPL; 2021-02-26 ORIG; 2021-09-24 SUPPL,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=BLA125522,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22125522Orig2s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2208%2F27%2F2015%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference. Linked to curated master row C054 on letter date plus corresponding company name, because the curated rows in data/fda_crl_master.csv publish no application number and cannot be joined on one. The link is date+name evidence; both verbatim names stay visible in the tables."
CR-NDA215559-20221223,CR-NDA215559-20221223,JOINED,,FALSE,215559_2023_Orig1s000OtherActionLtrs.pdf,lpsen Biopharmaceuticals Inc.,NDA 215559,NDA215559,NDA,2022-12-23,2022,COMPLETE RESPONSE,Approved,1,2023-08-16,236,2,2023-08-16,openfda_orig_decisions_2011_2026,2023-08-16 ORIG; 2025-03-13 SUPPL,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA215559,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22215559_2023_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2212%2F23%2F2022%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
