year,total_nmes_approved,official_fda_nme_count,nme_comparable_rows,official_series_delta,verified_decisions_tracked,priority_reviews,standard_reviews,unpublished_priority_reviews,orphan_drug_act_status,statutory_framework,landmark_approvals,historical_significance,primary_source_basis
1939,0,not published separately,0,n/a (no official per-year figure),0,0,1,6,The Orphan Drug Act had not yet been enacted (1983); no orphan-law framework applied to these approvals.,Pre-1962 federal NDA framework under the 1938 FD&C Act: safety ('safe for use as labeled') was required; proof of effectiveness was NOT a legal requirement for new-drug approval. (1962 Kefauver-Harris amendments added the effectiveness requirement.),,"The committed Drugs@FDA extract enumerates 0 Type 1/1-4 original approvals among 7 ORIG/AP applications for 1939. Application-level enumeration from the official payload, not a reconstructed contemporaneous statistic. The FDA official series publishes no separate NME figure for this year (1938-40 is published combined; NMEs qualified '1940 only'). First approval year of the Drugs@FDA database: NDA000552 (heparin sodium, LIQUAEMIN SODIUM, Aspen Global Inc.) 1939 is the first and lowest-numbered heparin NDA; independently confirmed by Federal Register 91 FR (2026-03-09) listing NDA 000552 as 'Liquaemin Sodium (heparin sodium) injectable ... Aspen Global Inc.' and as the first heparin NDA to take effect (1939). The 1938 FD&C Act (enacted 1938-06-28) was the enabling statute; no 1938 decision row exists in any official Drugs@FDA/openFDA record.","openFDA Drugs@FDA ORIG/AP payload data/raw/openfda_orig_decisions_1939_1964/decisions_1939.json (SHA-256 verified vs 2026-09-19 runner manifest); full official Drugs@FDA database cross-check (Applications_all_types.txt, 29,336 apps); official counts from data/fda_official_year_series.csv; live probes: 7/7"
1940,0,14 (1940 only),0,n/a (no official per-year figure),0,0,2,1,The Orphan Drug Act had not yet been enacted (1983); no orphan-law framework applied to these approvals.,Pre-1962 federal NDA framework under the 1938 FD&C Act: safety ('safe for use as labeled') was required; proof of effectiveness was NOT a legal requirement for new-drug approval. (1962 Kefauver-Harris amendments added the effectiveness requirement.),,"The committed Drugs@FDA extract enumerates 0 Type 1/1-4 original approvals among 3 ORIG/AP applications for 1940. Application-level enumeration from the official payload, not a reconstructed contemporaneous statistic. Official FDA series (committed data/fda_official_year_series.csv, source FDA summary-nda-approvals-receipts-1938-present): 14 (1940 only) NMEs, 1782 (1938-40) NDAs approved.","openFDA Drugs@FDA ORIG/AP payload data/raw/openfda_orig_decisions_1939_1964/decisions_1940.json (SHA-256 verified vs 2026-09-19 runner manifest); full official Drugs@FDA database cross-check (Applications_all_types.txt, 29,336 apps); official counts from data/fda_official_year_series.csv; live probes: 3/3"
1941,0,17,0,-17,0,0,1,4,The Orphan Drug Act had not yet been enacted (1983); no orphan-law framework applied to these approvals.,Pre-1962 federal NDA framework under the 1938 FD&C Act: safety ('safe for use as labeled') was required; proof of effectiveness was NOT a legal requirement for new-drug approval. (1962 Kefauver-Harris amendments added the effectiveness requirement.),,"The committed Drugs@FDA extract enumerates 0 Type 1/1-4 original approvals among 5 ORIG/AP applications for 1941. Application-level enumeration from the official payload, not a reconstructed contemporaneous statistic. Official FDA series (committed data/fda_official_year_series.csv, source FDA summary-nda-approvals-receipts-1938-present): 17 NMEs, 807 NDAs approved.","openFDA Drugs@FDA ORIG/AP payload data/raw/openfda_orig_decisions_1939_1964/decisions_1941.json (SHA-256 verified vs 2026-09-19 runner manifest); full official Drugs@FDA database cross-check (Applications_all_types.txt, 29,336 apps); official counts from data/fda_official_year_series.csv; live probes: 5/5"
1942,2,13,2,-11,2,0,2,3,The Orphan Drug Act had not yet been enacted (1983); no orphan-law framework applied to these approvals.,Pre-1962 federal NDA framework under the 1938 FD&C Act: safety ('safe for use as labeled') was required; proof of effectiveness was NOT a legal requirement for new-drug approval. (1962 Kefauver-Harris amendments added the effectiveness requirement.),"PREMARIN, DEMEROL","The committed Drugs@FDA extract enumerates 2 Type 1/1-4 original approvals among 5 ORIG/AP applications for 1942. Application-level enumeration from the official payload, not a reconstructed contemporaneous statistic. Official FDA series (committed data/fda_official_year_series.csv, source FDA summary-nda-approvals-receipts-1938-present): 13 NMEs.","openFDA Drugs@FDA ORIG/AP payload data/raw/openfda_orig_decisions_1939_1964/decisions_1942.json (SHA-256 verified vs 2026-09-19 runner manifest); full official Drugs@FDA database cross-check (Applications_all_types.txt, 29,336 apps); official counts from data/fda_official_year_series.csv; live probes: 5/5"
1943,1,10,1,-9,1,0,2,2,The Orphan Drug Act had not yet been enacted (1983); no orphan-law framework applied to these approvals.,Pre-1962 federal NDA framework under the 1938 FD&C Act: safety ('safe for use as labeled') was required; proof of effectiveness was NOT a legal requirement for new-drug approval. (1962 Kefauver-Harris amendments added the effectiveness requirement.),HYCODAN,"The committed Drugs@FDA extract enumerates 1 Type 1/1-4 original approvals among 4 ORIG/AP applications for 1943. Application-level enumeration from the official payload, not a reconstructed contemporaneous statistic. Official FDA series (committed data/fda_official_year_series.csv, source FDA summary-nda-approvals-receipts-1938-present): 10 NMEs, 1028 (1942-43) NDAs approved.","openFDA Drugs@FDA ORIG/AP payload data/raw/openfda_orig_decisions_1939_1964/decisions_1943.json (SHA-256 verified vs 2026-09-19 runner manifest); full official Drugs@FDA database cross-check (Applications_all_types.txt, 29,336 apps); official counts from data/fda_official_year_series.csv; live probes: 4/4"
1944,0,13,0,-13,0,0,0,4,The Orphan Drug Act had not yet been enacted (1983); no orphan-law framework applied to these approvals.,Pre-1962 federal NDA framework under the 1938 FD&C Act: safety ('safe for use as labeled') was required; proof of effectiveness was NOT a legal requirement for new-drug approval. (1962 Kefauver-Harris amendments added the effectiveness requirement.),,"The committed Drugs@FDA extract enumerates 0 Type 1/1-4 original approvals among 4 ORIG/AP applications for 1944. Application-level enumeration from the official payload, not a reconstructed contemporaneous statistic. Official FDA series (committed data/fda_official_year_series.csv, source FDA summary-nda-approvals-receipts-1938-present): 13 NMEs, 137 NDAs approved.","openFDA Drugs@FDA ORIG/AP payload data/raw/openfda_orig_decisions_1939_1964/decisions_1944.json (SHA-256 verified vs 2026-09-19 runner manifest); full official Drugs@FDA database cross-check (Applications_all_types.txt, 29,336 apps); official counts from data/fda_official_year_series.csv; live probes: 4/4"
1945,1,13,1,-12,1,1,1,1,The Orphan Drug Act had not yet been enacted (1983); no orphan-law framework applied to these approvals.,Pre-1962 federal NDA framework under the 1938 FD&C Act: safety ('safe for use as labeled') was required; proof of effectiveness was NOT a legal requirement for new-drug approval. (1962 Kefauver-Harris amendments added the effectiveness requirement.),TUBOCURARINE CHLORIDE,"The committed Drugs@FDA extract enumerates 1 Type 1/1-4 original approvals among 3 ORIG/AP applications for 1945. Application-level enumeration from the official payload, not a reconstructed contemporaneous statistic. Official FDA series (committed data/fda_official_year_series.csv, source FDA summary-nda-approvals-receipts-1938-present): 13 NMEs, 132 NDAs approved.","openFDA Drugs@FDA ORIG/AP payload data/raw/openfda_orig_decisions_1939_1964/decisions_1945.json (SHA-256 verified vs 2026-09-19 runner manifest); full official Drugs@FDA database cross-check (Applications_all_types.txt, 29,336 apps); official counts from data/fda_official_year_series.csv; live probes: 3/3"
1946,2,19,2,-17,2,1,1,8,The Orphan Drug Act had not yet been enacted (1983); no orphan-law framework applied to these approvals.,Pre-1962 federal NDA framework under the 1938 FD&C Act: safety ('safe for use as labeled') was required; proof of effectiveness was NOT a legal requirement for new-drug approval. (1962 Kefauver-Harris amendments added the effectiveness requirement.),"BENADRYL, SOTRADECOL","The committed Drugs@FDA extract enumerates 2 Type 1/1-4 original approvals among 10 ORIG/AP applications for 1946. Application-level enumeration from the official payload, not a reconstructed contemporaneous statistic. Official FDA series (committed data/fda_official_year_series.csv, source FDA summary-nda-approvals-receipts-1938-present): 19 NMEs, 114 NDAs approved.","openFDA Drugs@FDA ORIG/AP payload data/raw/openfda_orig_decisions_1939_1964/decisions_1946.json (SHA-256 verified vs 2026-09-19 runner manifest); full official Drugs@FDA database cross-check (Applications_all_types.txt, 29,336 apps); official counts from data/fda_official_year_series.csv; live probes: 10/10"
1947,0,26,0,-26,0,0,4,10,The Orphan Drug Act had not yet been enacted (1983); no orphan-law framework applied to these approvals.,Pre-1962 federal NDA framework under the 1938 FD&C Act: safety ('safe for use as labeled') was required; proof of effectiveness was NOT a legal requirement for new-drug approval. (1962 Kefauver-Harris amendments added the effectiveness requirement.),,"The committed Drugs@FDA extract enumerates 0 Type 1/1-4 original approvals among 14 ORIG/AP applications for 1947. Application-level enumeration from the official payload, not a reconstructed contemporaneous statistic. Official FDA series (committed data/fda_official_year_series.csv, source FDA summary-nda-approvals-receipts-1938-present): 26 NMEs, 145 NDAs approved.","openFDA Drugs@FDA ORIG/AP payload data/raw/openfda_orig_decisions_1939_1964/decisions_1947.json (SHA-256 verified vs 2026-09-19 runner manifest); full official Drugs@FDA database cross-check (Applications_all_types.txt, 29,336 apps); official counts from data/fda_official_year_series.csv; live probes: 14/14"
1948,2,29,2,-27,2,0,2,8,The Orphan Drug Act had not yet been enacted (1983); no orphan-law framework applied to these approvals.,Pre-1962 federal NDA framework under the 1938 FD&C Act: safety ('safe for use as labeled') was required; proof of effectiveness was NOT a legal requirement for new-drug approval. (1962 Kefauver-Harris amendments added the effectiveness requirement.),"PBZ, DECAPRYN","The committed Drugs@FDA extract enumerates 2 Type 1/1-4 original approvals among 10 ORIG/AP applications for 1948. Application-level enumeration from the official payload, not a reconstructed contemporaneous statistic. Official FDA series (committed data/fda_official_year_series.csv, source FDA summary-nda-approvals-receipts-1938-present): 29 NMEs, 194 NDAs approved.","openFDA Drugs@FDA ORIG/AP payload data/raw/openfda_orig_decisions_1939_1964/decisions_1948.json (SHA-256 verified vs 2026-09-19 runner manifest); full official Drugs@FDA database cross-check (Applications_all_types.txt, 29,336 apps); official counts from data/fda_official_year_series.csv; live probes: 10/10"
