ticker,company,decision_date,decision_type,close_before,date_before,close_on_or_after,date_on_or_after,pct_change_on_decision,price_t1,pct_change_t1,source_url,verification_status,notes,manual_verification_url,secondary_verification_url
TLX,Telix Pharmaceuticals Limited,2026-09-11,Approval,11.899999618530273,2026-09-10,11.289999961853027,2026-09-11,-5.13,11.779999732971191,,https://query1.finance.yahoo.com/v8/finance/chart/TLX?period1=1788480000&period2=1789776000&interval=1d (verbatim JSON in data/raw/stock_yahoo_events_1998_2026/TLX_2026-09-11.json),Verified,"longName=Telix Pharmaceuticals Limited; meta symbol=TLX (NasdaqGS ADS; ordinary shares ASX:TLX); raw bars 9; source file TLX_2026-09-11.json; decision D1028 Pixclara (FDA 2026 table row #40, 9/11/2026); close 09-10 11.90 -> 09-11 11.29 (-5.13%) -> 09-14 11.78 (+4.34% T+1)",https://finance.yahoo.com/quote/TLX/history/,https://www.stockanalysis.com/stocks/tlx/history/
SRRK,Scholar Rock Holding Corporation,2026-09-11,Approval,55.66999816894531,2026-09-10,55.40999984741211,2026-09-11,-0.47,51.849998474121094,,https://query1.finance.yahoo.com/v8/finance/chart/SRRK?period1=&period2=&interval=1d (verbatim JSON in data/raw/stock_yahoo_batch_2026_09/SRRK_2026-09-11.json),Verified,longName=Scholar Rock Holding Corporation; meta symbol=SRRK; raw bars 12; source file SRRK_2026-09-11.json,https://finance.yahoo.com/quote/SRRK/history/,https://www.stockanalysis.com/stocks/srrk/history/
PHAR,,2026-09-11,,10.805,2026-09-10,11.21,2026-09-11,3.75,10.82,,https://query1.finance.yahoo.com/v8/finance/chart/PHAR?period1=1788048000&period2=1790121600&interval=1d&includePrePost=false,Verified,,https://finance.yahoo.com/quote/PHAR/history/,https://www.stockanalysis.com/stocks/phar/history/
BFRI,,2026-09-09,,1.56,2026-09-08,1.54,2026-09-09,-1.28,1.46,,https://query1.finance.yahoo.com/v8/finance/chart/BFRI?period1=1787875200&period2=1789948800&interval=1d&includePrePost=false,Verified,,https://finance.yahoo.com/quote/BFRI/history/,https://www.stockanalysis.com/stocks/bfri/history/
BAYRY,,2026-09-09,,14.32,2026-09-08,14.31,2026-09-09,-0.07,14.07,,https://query1.finance.yahoo.com/v8/finance/chart/BAYRY?period1=1787875200&period2=1789948800&interval=1d&includePrePost=false,Verified,,https://finance.yahoo.com/quote/BAYRY/history/,https://www.stockanalysis.com/stocks/bayry/history/
AZN,AstraZeneca plc,2026-09-04,Approval,164.77000427246094,2026-09-03,162.6999969482422,2026-09-04,-1.26,160.0399932861328,,https://query1.finance.yahoo.com/v8/finance/chart/AZN?period1=&period2=&interval=1d (verbatim JSON in data/raw/stock_yahoo_batch_2026_09/AZN_2026-09-04.json),Verified,longName=AstraZeneca PLC; meta symbol=AZN; raw bars 17; source file AZN_2026-09-04.json,https://finance.yahoo.com/quote/AZN/history/,https://www.stockanalysis.com/stocks/azn/history/
IONS,"Ionis Pharmaceuticals, Inc.",2026-09-03,Approval,61.33000183105469,2026-09-02,58.130001068115234,2026-09-03,-5.22,58.09000015258789,,https://query1.finance.yahoo.com/v8/finance/chart/IONS?period1=&period2=&interval=1d (verbatim JSON in data/raw/stock_yahoo_batch_2026_09/IONS_2026-09-03.json),Verified,"longName=Ionis Pharmaceuticals, Inc.; meta symbol=IONS; raw bars 16; source file IONS_2026-09-03.json",https://finance.yahoo.com/quote/IONS/history/,https://www.stockanalysis.com/stocks/ions/history/
PTGX,Protagonist Therapeutics,2026-08-28,Approval,154.32,2026-08-19,149.5,2026-08-28,-3.12,,,https://query1.finance.yahoo.com/v8/finance/chart/PTGX,Verified,Mimrylo approval,https://finance.yahoo.com/quote/PTGX/history/,https://www.stockanalysis.com/stocks/ptgx/history/
JNJ,,2026-08-28,,265.77,2026-08-27,268.04,2026-08-28,0.85,265.85,,https://query1.finance.yahoo.com/v8/finance/chart/JNJ?period1=1786838400&period2=1788912000&interval=1d&includePrePost=false,Verified,,https://finance.yahoo.com/quote/JNJ/history/,https://www.stockanalysis.com/stocks/jnj/history/
ROIV,Roivant Sciences,2026-08-27,Approval,36.84,2026-08-19,36.75,2026-08-27,-0.24,,,https://query1.finance.yahoo.com/v8/finance/chart/ROIV,Verified,Lisraya approval,https://finance.yahoo.com/quote/ROIV/history/,https://www.stockanalysis.com/stocks/roiv/history/
