row_id,year,application_number,application_kind,decision_date,submission_class_code,submission_class_code_description,review_priority,nme_comparable,classification_group,sponsor_name_drugsatfda_holder,full_db_holder_match,first_product_brand,first_product_ingredients,first_product_form_route,n_products,first_product_marketing_status,ingredient_first_appearance,ingredient_screen,tracked_in,live_probe_status,drugsatfda_url,openfda_url,verification_status,notes
PRE1965AUDIT-1939-01,1939,NDA000552,NDA,1939-02-09,UNKNOWN,,UNKNOWN,FALSE,NOT PUBLISHED (blank class),ASPEN GLOBAL INC,MATCH,HEPARIN SODIUM,"HEPARIN SODIUM 1,000 UNITS/ML",INJECTABLE; INJECTION,12,Discontinued,first-in-payloads (1939-1964 universe),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=000552,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA000552%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1939-02,1939,NDA000159,NDA,1939-03-09,,,,FALSE,NOT PUBLISHED (blank class),LILLY,MATCH,SULFAPYRIDINE,SULFAPYRIDINE 500MG,TABLET; ORAL,1,Discontinued,first-in-payloads (1939-1964 universe),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=000159,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA000159%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1939-03,1939,NDA000734,NDA,1939-04-25,,,,FALSE,NOT PUBLISHED (blank class),LILLY,MATCH,HISTAMINE PHOSPHATE,HISTAMINE PHOSPHATE EQ 0.1MG BASE/ML,INJECTABLE; INJECTION,3,Discontinued,first-in-payloads (1939-1964 universe),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=000734,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA000734%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1939-04,1939,NDA000793,NDA,1939-06-05,UNKNOWN,,UNKNOWN,FALSE,NOT PUBLISHED (blank class),PHARMOBEDIENT,MATCH,BUTISOL SODIUM,BUTABARBITAL SODIUM 100MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,TABLET; ORAL,4,Discontinued,first-in-payloads (1939-1964 universe),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=000793,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA000793%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1939-05,1939,NDA001104,NDA,1939-08-17,,,,FALSE,NOT PUBLISHED (blank class),ORGANON USA INC,MATCH,DOCA,DESOXYCORTICOSTERONE ACETATE 5MG/ML,INJECTABLE; INJECTION,1,Discontinued,first-in-payloads (1939-1964 universe),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=001104,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA001104%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1939-06,1939,NDA001504,NDA,1939-08-30,UNKNOWN,,STANDARD,FALSE,NOT PUBLISHED (blank class),THE VERARD COMPANY,MATCH,VERARD,VERARD UNKNOWN,UNKNOWN; UNKNOWN,1,Prescription,first-in-payloads (1939-1964 universe),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=001504,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA001504%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1939-07,1939,NDA001546,NDA,1939-10-02,UNKNOWN,,UNKNOWN,FALSE,NOT PUBLISHED (blank class),MERCK SHARP DOHME,MATCH,GUANIDINE HYDROCHLORIDE,GUANIDINE HYDROCHLORIDE 125MG,TABLET; ORAL,1,Discontinued,first-in-payloads (1939-1964 universe),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=001546,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA001546%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1940-01,1940,NDA002386,NDA,1940-04-19,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,FALSE,Type 5 - New Formulation or New Manufacturer,GD SEARLE LLC,MATCH,AMINOPHYLLIN,AMINOPHYLLINE 100MG,TABLET; ORAL,2,Discontinued,first-in-payloads (1939-1964 universe),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=002386,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA002386%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1940-02,1940,NDA002282,NDA,1940-04-30,TYPE 4,Type 4 - New Combination,STANDARD,FALSE,Type 4 - New Combination,ISO TEX,MATCH,INULIN AND SODIUM CHLORIDE,INULIN 100MG/ML,INJECTABLE; INJECTION,1,Discontinued,first-in-payloads (1939-1964 universe),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=002282,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA002282%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1940-03,1940,NDA002918,NDA,1940-09-17,UNKNOWN,,UNKNOWN,FALSE,NOT PUBLISHED (blank class),POYTHRESS,MATCH,BENSULFOID,SULFUR 33.32%,POWDER; TOPICAL,1,Discontinued,first-in-payloads (1939-1964 universe),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=002918,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA002918%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
