action_id,year,appl_no,application_number,action_class,action_date,submission_type,submission_no,submission_status,submission_class_code_id,submission_class_code,submission_class_code_description,review_priority,nme_comparable,holder_drugsatfda_verbatim,first_product_brand,first_product_ingredients,first_product_strength,first_product_form_route,n_products_published,marketing_status_openfda,fr_safety_determination_marker,products_with_fr_marker,suppl_actions_1965_1979,suppl_actions_in_year,official_docs_rows,appletter_url_count,review_doc_url_count,pre96_review_url_count,first_appletter_url,first_pre96_review_url,first_label_url,tracked_decision_id,verified_decision_row,crosscheck_record_id,openfda_payload_file,drugsatfda_url,openfda_url,evidence_source_file,evidence_source_line,evidence_manifest_sha256,verification_status,notes
PRE1980ACT-1978-001,1978,008961,,KIND_UNRESOLVED,1978-10-16,ORIG,1,AP,12,TYPE 3,Type 3 - New Dosage Form,STANDARD,FALSE,,,,,,0,,FALSE,0,0,0,0,0,0,0,,,,,,FULldb-1978-UNRES21,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=008961,,data/raw/drugsatfda_data_files_2026_09/Submissions_1965_1979.txt,519,eb7003d97b6b24023b5fde542a5ba7ca4292259d9f323a1530d387a6e0091311,"Verified row, application type not published (KIND_UNRESOLVED) - review candidate only","v23 2026-09-20: row read verbatim from the committed official Drugs@FDA Submissions extract (1965-1979 window) at the cited line number; the file re-hashes to the runner manifest SHA-256. ApplNo is absent from the unfiltered Applications table, so no NDA/ANDA/BLA type can be asserted; the openFDA payloads do not carry it either. This is a review candidate, never an approval row in the NME decision table. Cross-check record FULldb-1978-UNRES21."
PRE1980ACT-1978-002,1978,012043,,KIND_UNRESOLVED,1978-10-16,ORIG,1,AP,8,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination,STANDARD,TRUE (UNRESOLVED APPLICATION TYPE),,,,,,0,,FALSE,0,0,0,0,0,0,0,,,,,,FULldb-1978-UNRES22,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=012043,,data/raw/drugsatfda_data_files_2026_09/Submissions_1965_1979.txt,1244,eb7003d97b6b24023b5fde542a5ba7ca4292259d9f323a1530d387a6e0091311,"Verified row, application type not published (KIND_UNRESOLVED) - review candidate only","v23 2026-09-20: row read verbatim from the committed official Drugs@FDA Submissions extract (1965-1979 window) at the cited line number; the file re-hashes to the runner manifest SHA-256. ApplNo is absent from the unfiltered Applications table, so no NDA/ANDA/BLA type can be asserted; the openFDA payloads do not carry it either. This is a review candidate, never an approval row in the NME decision table. Cross-check record FULldb-1978-UNRES22."
PRE1980ACT-1978-003,1978,012622,,KIND_UNRESOLVED,1978-07-14,ORIG,1,AP,14,TYPE 4,Type 4 - New Combination,STANDARD,FALSE,,,,,,0,,FALSE,0,0,0,0,0,0,0,,,,,,FULldb-1978-UNRES16,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=012622,,data/raw/drugsatfda_data_files_2026_09/Submissions_1965_1979.txt,1479,eb7003d97b6b24023b5fde542a5ba7ca4292259d9f323a1530d387a6e0091311,"Verified row, application type not published (KIND_UNRESOLVED) - review candidate only","v23 2026-09-20: row read verbatim from the committed official Drugs@FDA Submissions extract (1965-1979 window) at the cited line number; the file re-hashes to the runner manifest SHA-256. ApplNo is absent from the unfiltered Applications table, so no NDA/ANDA/BLA type can be asserted; the openFDA payloads do not carry it either. This is a review candidate, never an approval row in the NME decision table. Cross-check record FULldb-1978-UNRES16."
PRE1980ACT-1978-004,1978,016741,NDA016741,TRACKED_NDA_ORIGINAL,1978-02-16,ORIG,1,AP,15,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,FALSE,B BRAUN,SORBITOL 3.3% IN PLASTIC CONTAINER,SORBITOL,3.3GM/100ML,SOLUTION;IRRIGATION,1,Prescription,FALSE,0,8,3,1,1,0,0,http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2003/16741slr035ltr.pdf,,,none (not a Type 1/1-4 original approval),,,data/raw/openfda_orig_decisions_1975_1979/decisions_1978.json,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=016741,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016741%22,data/raw/drugsatfda_data_files_2026_09/Submissions_1965_1979.txt,3459,eb7003d97b6b24023b5fde542a5ba7ca4292259d9f323a1530d387a6e0091311,Verified (verbatim Drugs@FDA submission row; line number cited),"v23 2026-09-20: row read verbatim from the committed official Drugs@FDA Submissions extract (1965-1979 window) at the cited line number; the file re-hashes to the runner manifest SHA-256. Application type, holder and product facts come from the committed Drugs@FDA Applications/Products extracts. Holder is the CURRENT Drugs@FDA applicant of record, never asserted as the 1977-1979 applicant; no indication is recorded because the official extract publishes none. Supplement counts are approval actions (status AP) inside the committed 1965-1979 window only and understate lifetime post-approval activity."
PRE1980ACT-1978-005,1978,016772,NDA016772,TRACKED_NDA_ORIGINAL,1978-02-10,ORIG,1,AP,15,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,FALSE,B BRAUN,RESECTISOL IN PLASTIC CONTAINER,MANNITOL,5GM/100ML,SOLUTION;IRRIGATION,1,Discontinued,FALSE,0,7,2,0,0,0,0,,,,none (not a Type 1/1-4 original approval),,,data/raw/openfda_orig_decisions_1975_1979/decisions_1978.json,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=016772,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016772%22,data/raw/drugsatfda_data_files_2026_09/Submissions_1965_1979.txt,3523,eb7003d97b6b24023b5fde542a5ba7ca4292259d9f323a1530d387a6e0091311,Verified (verbatim Drugs@FDA submission row; line number cited),"v23 2026-09-20: row read verbatim from the committed official Drugs@FDA Submissions extract (1965-1979 window) at the cited line number; the file re-hashes to the runner manifest SHA-256. Application type, holder and product facts come from the committed Drugs@FDA Applications/Products extracts. Holder is the CURRENT Drugs@FDA applicant of record, never asserted as the 1977-1979 applicant; no indication is recorded because the official extract publishes none. Supplement counts are approval actions (status AP) inside the committed 1965-1979 window only and understate lifetime post-approval activity."
PRE1980ACT-1978-006,1978,016784,NDA016784,TRACKED_NDA_ORIGINAL,1978-02-06,ORIG,1,AP,15,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,FALSE,B BRAUN,GLYCINE 1.5% IN PLASTIC CONTAINER,GLYCINE,1.5GM/100ML,SOLUTION;IRRIGATION,1,Prescription,FALSE,0,7,2,1,0,0,0,,,http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/016784s035lbl.pdf,none (not a Type 1/1-4 original approval),,,data/raw/openfda_orig_decisions_1975_1979/decisions_1978.json,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=016784,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016784%22,data/raw/drugsatfda_data_files_2026_09/Submissions_1965_1979.txt,3573,eb7003d97b6b24023b5fde542a5ba7ca4292259d9f323a1530d387a6e0091311,Verified (verbatim Drugs@FDA submission row; line number cited),"v23 2026-09-20: row read verbatim from the committed official Drugs@FDA Submissions extract (1965-1979 window) at the cited line number; the file re-hashes to the runner manifest SHA-256. Application type, holder and product facts come from the committed Drugs@FDA Applications/Products extracts. Holder is the CURRENT Drugs@FDA applicant of record, never asserted as the 1977-1979 applicant; no indication is recorded because the official extract publishes none. Supplement counts are approval actions (status AP) inside the committed 1965-1979 window only and understate lifetime post-approval activity."
PRE1980ACT-1979-001,1979,016792,NDA016792,TRACKED_NDA_ORIGINAL,1979-06-12,ORIG,1,AP,7,TYPE 1,Type 1 - New Molecular Entity,STANDARD,TRUE,TEVA WOMENS,SURMONTIL,TRIMIPRAMINE MALEATE,EQ 25MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,CAPSULE;ORAL,3,Discontinued,TRUE,3,0,0,14,4,4,0,http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2005/16792s024ltr.pdf,,http://www.accessdata.fda.gov/drugsatfda_docs/label/2005/16792s024lbl.pdf,PRE1980-1979-06,PRE1980-1979-06,,data/raw/openfda_orig_decisions_1975_1979/decisions_1979.json,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=016792,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016792%22,data/raw/drugsatfda_data_files_2026_09/Submissions_1965_1979.txt,3586,eb7003d97b6b24023b5fde542a5ba7ca4292259d9f323a1530d387a6e0091311,Verified (verbatim Drugs@FDA submission row; line number cited),"v23 2026-09-20: row read verbatim from the committed official Drugs@FDA Submissions extract (1965-1979 window) at the cited line number; the file re-hashes to the runner manifest SHA-256. Application type, holder and product facts come from the committed Drugs@FDA Applications/Products extracts. Holder is the CURRENT Drugs@FDA applicant of record, never asserted as the 1977-1979 applicant; no indication is recorded because the official extract publishes none. Supplement counts are approval actions (status AP) inside the committed 1965-1979 window only and understate lifetime post-approval activity."
PRE1980ACT-1978-007,1978,016818,NDA016818,TRACKED_NDA_ORIGINAL,1978-09-27,ORIG,1,AP,12,TYPE 3,Type 3 - New Dosage Form,STANDARD,FALSE,ROERIG,EMETE-CON,BENZQUINAMIDE HYDROCHLORIDE,EQ 100MG BASE,SUPPOSITORY;RECTAL,1,Discontinued,FALSE,0,0,0,0,0,0,0,,,,none (not a Type 1/1-4 original approval),,,data/raw/openfda_orig_decisions_1975_1979/decisions_1978.json,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=016818,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016818%22,data/raw/drugsatfda_data_files_2026_09/Submissions_1965_1979.txt,3639,eb7003d97b6b24023b5fde542a5ba7ca4292259d9f323a1530d387a6e0091311,Verified (verbatim Drugs@FDA submission row; line number cited),"v23 2026-09-20: row read verbatim from the committed official Drugs@FDA Submissions extract (1965-1979 window) at the cited line number; the file re-hashes to the runner manifest SHA-256. Application type, holder and product facts come from the committed Drugs@FDA Applications/Products extracts. Holder is the CURRENT Drugs@FDA applicant of record, never asserted as the 1977-1979 applicant; no indication is recorded because the official extract publishes none. Supplement counts are approval actions (status AP) inside the committed 1965-1979 window only and understate lifetime post-approval activity."
PRE1980ACT-1977-001,1977,016949,NDA016949,TRACKED_NDA_ORIGINAL,1977-12-23,ORIG,1,AP,14,TYPE 4,Type 4 - New Combination,STANDARD,FALSE,CHARTWELL RX,LIMBITROL,AMITRIPTYLINE HYDROCHLORIDE; CHLORDIAZEPOXIDE,EQ 12.5MG BASE;5MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,TABLET;ORAL,2,Discontinued,TRUE,2,6,0,19,9,0,0,http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2001/16949s33ltr.pdf,,http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/016949s039lbl.pdf,none (not a Type 1/1-4 original approval),,,data/raw/openfda_orig_decisions_1975_1979/decisions_1977.json,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=016949,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016949%22,data/raw/drugsatfda_data_files_2026_09/Submissions_1965_1979.txt,3928,eb7003d97b6b24023b5fde542a5ba7ca4292259d9f323a1530d387a6e0091311,Verified (verbatim Drugs@FDA submission row; line number cited),"v23 2026-09-20: row read verbatim from the committed official Drugs@FDA Submissions extract (1965-1979 window) at the cited line number; the file re-hashes to the runner manifest SHA-256. Application type, holder and product facts come from the committed Drugs@FDA Applications/Products extracts. Holder is the CURRENT Drugs@FDA applicant of record, never asserted as the 1977-1979 applicant; no indication is recorded because the official extract publishes none. Supplement counts are approval actions (status AP) inside the committed 1965-1979 window only and understate lifetime post-approval activity."
PRE1980ACT-1978-008,1978,017362,NDA017362,TRACKED_NDA_ORIGINAL,1978-05-11,ORIG,1,AP,15,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,FALSE,ACTAVIS LABS UT INC,PROGESTERONE,PROGESTERONE,50MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,INJECTABLE;INJECTION,1,Discontinued,TRUE,1,51,42,4,2,0,0,http://www.accessdata.fda.gov/drugsatfda_docs/appletter/2007/017362s104_ltr.pdf,,http://www.accessdata.fda.gov/drugsatfda_docs/label/2007/017362s104lbl.pdf,none (not a Type 1/1-4 original approval),,,data/raw/openfda_orig_decisions_1975_1979/decisions_1978.json,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017362,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017362%22,data/raw/drugsatfda_data_files_2026_09/Submissions_1965_1979.txt,4582,eb7003d97b6b24023b5fde542a5ba7ca4292259d9f323a1530d387a6e0091311,Verified (verbatim Drugs@FDA submission row; line number cited),"v23 2026-09-20: row read verbatim from the committed official Drugs@FDA Submissions extract (1965-1979 window) at the cited line number; the file re-hashes to the runner manifest SHA-256. Application type, holder and product facts come from the committed Drugs@FDA Applications/Products extracts. Holder is the CURRENT Drugs@FDA applicant of record, never asserted as the 1977-1979 applicant; no indication is recorded because the official extract publishes none. Supplement counts are approval actions (status AP) inside the committed 1965-1979 window only and understate lifetime post-approval activity."
