ApplNo	ProductNo	Form	Strength	ReferenceDrug	DrugName	ActiveIngredient	ReferenceStandard
000159	001	TABLET;ORAL	500MG	0	SULFAPYRIDINE	SULFAPYRIDINE	0
000552	001	INJECTABLE;INJECTION	20,000 UNITS/ML	0	LIQUAEMIN SODIUM	HEPARIN SODIUM	0
000552	002	INJECTABLE;INJECTION	40,000 UNITS/ML	0	LIQUAEMIN SODIUM	HEPARIN SODIUM	0
000552	003	INJECTABLE;INJECTION	5,000 UNITS/ML	0	LIQUAEMIN SODIUM	HEPARIN SODIUM	0
000552	004	INJECTABLE;INJECTION	1,000 UNITS/ML	0	LIQUAEMIN SODIUM	HEPARIN SODIUM	0
000552	005	INJECTABLE;INJECTION	10,000 UNITS/ML	0	LIQUAEMIN SODIUM	HEPARIN SODIUM	0
000552	007	INJECTABLE;INJECTION	100 UNITS/ML	0	LIQUAEMIN LOCK FLUSH	HEPARIN SODIUM	0
000552	008	INJECTABLE;INJECTION	1,000 UNITS/ML	0	HEPARIN SODIUM	HEPARIN SODIUM	0
000552	009	INJECTABLE;INJECTION	5,000 UNITS/ML	0	HEPARIN SODIUM	HEPARIN SODIUM	0
000552	010	INJECTABLE;INJECTION	10,000 UNITS/ML	0	HEPARIN SODIUM	HEPARIN SODIUM	0
000552	011	INJECTABLE;INJECTION	1,000 UNITS/ML	0	LIQUAEMIN SODIUM PRESERVATIVE FREE	HEPARIN SODIUM	0
000552	012	INJECTABLE;INJECTION	5,000 UNITS/ML	0	LIQUAEMIN SODIUM PRESERVATIVE FREE	HEPARIN SODIUM	0
000552	013	INJECTABLE;INJECTION	10,000 UNITS/ML	0	LIQUAEMIN SODIUM PRESERVATIVE FREE	HEPARIN SODIUM	0
000734	001	INJECTABLE;INJECTION	EQ 1MG BASE/ML	0	HISTAMINE PHOSPHATE	HISTAMINE PHOSPHATE	0
000734	002	INJECTABLE;INJECTION	EQ 0.2MG BASE/ML	0	HISTAMINE PHOSPHATE	HISTAMINE PHOSPHATE	0
000734	003	INJECTABLE;INJECTION	EQ 0.1MG BASE/ML	0	HISTAMINE PHOSPHATE	HISTAMINE PHOSPHATE	0
000793	002	TABLET;ORAL	15MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	0	BUTISOL SODIUM	BUTABARBITAL SODIUM	0
000793	003	TABLET;ORAL	50MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	0	BUTISOL SODIUM	BUTABARBITAL SODIUM	0
000793	004	TABLET;ORAL	30MG	1	BUTISOL SODIUM	BUTABARBITAL SODIUM	0
000793	005	TABLET;ORAL	100MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	0	BUTISOL SODIUM	BUTABARBITAL SODIUM	0
001104	001	INJECTABLE;INJECTION	5MG/ML	0	DOCA	DESOXYCORTICOSTERONE ACETATE	0
001504	001	UNKNOWN	UNKNOWN	0	VERARD	VERARD	0
001546	001	TABLET;ORAL	125MG	0	GUANIDINE HYDROCHLORIDE	GUANIDINE HYDROCHLORIDE	0
002282	001	INJECTABLE;INJECTION	100MG/ML	0	INULIN AND SODIUM CHLORIDE	INULIN	0
002386	002	TABLET;ORAL	100MG	0	AMINOPHYLLIN	AMINOPHYLLINE	0
002386	003	TABLET;ORAL	200MG	0	AMINOPHYLLIN	AMINOPHYLLINE	0
002918	001	POWDER;TOPICAL	33.32%	0	BENSULFOID	SULFUR	0
003444	001	CAPSULE;ORAL	50,000 IU	1	DRISDOL	ERGOCALCIFEROL	0
003718	004	INJECTABLE;INJECTION	5MG/ML	0	SYNKAYVITE	MENADIOL SODIUM DIPHOSPHATE	0
003718	006	INJECTABLE;INJECTION	10MG/ML	0	SYNKAYVITE	MENADIOL SODIUM DIPHOSPHATE	0
003718	008	INJECTABLE;INJECTION	37.5MG/ML	0	SYNKAYVITE	MENADIOL SODIUM DIPHOSPHATE	0
003718	010	TABLET;ORAL	5MG	0	SYNKAYVITE	MENADIOL SODIUM DIPHOSPHATE	0
003977	001	INJECTABLE;INJECTION	1MG/ML	0	THEELIN	ESTRONE	0
003977	002	INJECTABLE;INJECTION	2MG/ML	0	THEELIN	ESTRONE	0
003977	003	INJECTABLE;INJECTION	5MG/ML	0	THEELIN	ESTRONE	0
004054	001	TABLET;ORAL	500MG	0	SULFADIAZINE	SULFADIAZINE	0
004054	002	INJECTABLE;INJECTION	250MG/ML	0	SULFADIAZINE SODIUM	SULFADIAZINE SODIUM	0
004122	002	TABLET;ORAL	500MG	1	SULFADIAZINE	SULFADIAZINE	0
004570	001	INJECTABLE;INJECTION	1,000 UNITS/ML	0	HEPARIN SODIUM	HEPARIN SODIUM	0
004570	002	INJECTABLE;INJECTION	5,000 UNITS/ML	0	HEPARIN SODIUM	HEPARIN SODIUM	0
004570	003	INJECTABLE;INJECTION	10,000 UNITS/ML	0	HEPARIN SODIUM	HEPARIN SODIUM	0
004589	004	INJECTABLE;INJECTION	5ML/100ML;5GM/100ML	0	ALCOHOL 5% AND DEXTROSE 5%	ALCOHOL; DEXTROSE	0
004782	001	TABLET;ORAL	1.25MG	1	PREMARIN	ESTROGENS, CONJUGATED	1
004782	002	TABLET;ORAL	2.5MG	0	PREMARIN	ESTROGENS, CONJUGATED	0
004782	003	TABLET;ORAL	0.3MG	1	PREMARIN	ESTROGENS, CONJUGATED	0
004782	004	TABLET;ORAL	0.625MG	1	PREMARIN	ESTROGENS, CONJUGATED	1
004782	005	TABLET;ORAL	0.9MG	1	PREMARIN	ESTROGENS, CONJUGATED	1
004782	006	TABLET;ORAL	0.45MG	1	PREMARIN	ESTROGENS, CONJUGATED	0
005010	001	TABLET;ORAL	50MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	DEMEROL	MEPERIDINE HYDROCHLORIDE	0
005010	002	INJECTABLE;INJECTION	50MG/ML	0	DEMEROL	MEPERIDINE HYDROCHLORIDE	0
005010	003	INJECTABLE;INJECTION	100MG/ML	0	DEMEROL	MEPERIDINE HYDROCHLORIDE	0
005010	004	TABLET;ORAL	100MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	DEMEROL	MEPERIDINE HYDROCHLORIDE	0
005010	005	SYRUP;ORAL	50MG/5ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	0	DEMEROL	MEPERIDINE HYDROCHLORIDE	0
005010	007	INJECTABLE;INJECTION	25MG/ML	0	DEMEROL	MEPERIDINE HYDROCHLORIDE	0
005010	009	INJECTABLE;INJECTION	75MG/ML	0	DEMEROL	MEPERIDINE HYDROCHLORIDE	0
005151	001	PELLET;IMPLANTATION	125MG	0	PERCORTEN	DESOXYCORTICOSTERONE ACETATE	0
