decision_id,company_name,ticker,exchange,drug_brand,drug_generic,decision_type,decision_date,indication,review_pathway,source_url_1,source_url_2,verification_status,notes
D001,Ligand Pharmaceuticals / Pelthos Therapeutics,LGND,NASDAQ,Zelsuvmi,berdazimer,Approval,2024-01-05,Molluscum contagiosum,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217424s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,First novel drug approved for molluscum contagiosum; asset later spun into Pelthos Therapeutics (PTHS)
D002,Allecra Therapeutics (private) / commercial partner ADVANZ PHARMA (private),NO_TICKER,N/A,Exblifep,cefepime and enmetazobactam,Approval,2024-02-22,Complicated urinary tract infections,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/216165s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified - no public ticker,Allecra Therapeutics and Advanz Pharma are both privately held; no listed equity to track
D003,Sun Pharmaceutical Industries,SUNPHARMA.NS,NSE/BSE India; no US ADR,Letybo,letibotulinumtoxinA-wlbg,Approval,2024-02-29,Glabellar lines,Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761225s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified - foreign listing only,Listed on Indian exchanges (NSE:SUNPHARMA / BSE:524715); no U.S. ticker
D004,BeOne Medicines (formerly BeiGene),ONC,NASDAQ,Tevimbra,tislelizumab-jsgr,Approval,2024-03-13,Esophageal squamous cell carcinoma,Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761232Orig1s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,Company renamed from BeiGene to BeOne Medicines in 2025; ticker changed from BGNE to ONC
D005,Madrigal Pharmaceuticals,MDGL,NASDAQ,Rezdiffra,resmetirom,Approval (Accelerated),2024-03-14,Noncirrhotic MASH with moderate-to-advanced liver fibrosis,Priority/Accelerated,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217785s000lbl.pdf,https://www.fda.gov/news-events/press-announcements/fda-approves-first-treatment-patients-liver-scarring-due-fatty-liver-disease,Verified,First FDA-approved MASH treatment
D006,Idorsia Pharmaceuticals,IDIA.SW,SIX Swiss Exchange; no US ticker,Tryvio,aprocitentan,Approval,2024-03-19,Hypertension (add-on),Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217686s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified - foreign listing only,Swiss-listed; no U.S.-listed ADR identified
D007,"Italfarmaco S.p.A. (parent, private) / ITF Therapeutics (US arm, private)",NO_TICKER,N/A,Duvyzat,givinostat,Approval,2024-03-21,Duchenne muscular dystrophy (6 years and older),Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217865Orig1s000lbl.pdf,https://www.fda.gov/news-events/press-announcements/fda-approves-nonsteroidal-treatment-duchenne-muscular-dystrophy,Verified - no public ticker,Italfarmaco is a privately held Italian company
D008,Merck & Co.,MRK,NYSE,Winrevair,sotatercept-csrk,Approval,2024-03-26,Pulmonary arterial hypertension,Priority,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761363s000lbl.pdf,https://www.ajmc.com/view/fda-approves-sotatercept-first-in-class-treatment-for-adults-with-pah,Verified,Asset acquired via Merck's 2021 buyout of Acceleron Pharma
D009,CSL Limited,CSL.AX,ASX Australia; no US ADR primary,Voydeya,danicopan,Approval,2024-03-29,Extravascular hemolysis in PNH (add-on),Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218037s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified - foreign listing only,CSL Limited trades on ASX; thinly traded US OTC ADR CSLLY exists
D010,Akebia Therapeutics,AKBA,NASDAQ,Vafseo,vadadustat,Approval,2024-03-27,Anemia due to chronic kidney disease (dialysis patients),Standard,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/215192s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,
